portfolio_value,cash,w_c,w_XLF,w_XLK,w_XLV,w_XLY,w_XLP,w_XLE,w_XLI,w_XLU,w_XLB,w_XLRE,w_XLC,s_XLF,s_XLK,s_XLV,s_XLY,s_XLP,s_XLE,s_XLI,s_XLU,s_XLB,s_XLRE,s_XLC
99882.35202980042,22867.713151931763,0.22894648240871482,0.0731,0.0511,0.0766,0.0511,0.1391,0.0509,0.1389,0.1391,0.0511,0.0,0.0,451,139,129,78,370,96,297,412,125,0,0
99636.14509773254,30130.753686904907,0.3024078627023338,0.055,0.0551,0.1496,0.0546,0.0549,0.0686,0.0549,0.15,0.0549,0.0,0.0,339,149,251,83,145,130,117,453,134,0,0
100074.88101387024,9949.348764419556,0.0994190416578221,0.118,0.0489,0.084,0.1331,0.0489,0.0799,0.1235,0.1329,0.1315,0.0,0.0,723,131,141,201,129,150,262,405,317,0,0
100321.18942642212,12556.343870162964,0.12516143341155336,0.1681,0.0618,0.0614,0.0618,0.0617,0.1681,0.0619,0.1683,0.0617,0.0,0.0,1033,165,103,93,164,310,131,522,148,0,0
100463.31681442261,13401.828790664673,0.13340022224650155,0.0654,0.1194,0.0654,0.0649,0.0654,0.1776,0.0652,0.0653,0.1781,0.0,0.0,401,319,109,98,174,327,138,203,427,0,0
100502.28586959839,10468.82095527649,0.10416500345932204,0.1385,0.0509,0.0504,0.1356,0.0547,0.1384,0.1382,0.0507,0.1384,0.0,0.0,855,136,84,205,145,258,291,154,331,0,0
100417.7435207367,11476.766359329224,0.11429022358941199,0.1521,0.152,0.0554,0.1514,0.0559,0.0556,0.1518,0.0557,0.0558,0.0,0.0,942,404,92,228,149,104,319,171,133,0,0
100911.3781490326,27547.776052474976,0.2729897912184947,0.0589,0.0587,0.0587,0.0586,0.0588,0.1487,0.0588,0.0655,0.1603,0.0,0.0,364,156,97,88,157,281,123,202,383,0,0
100878.42546653748,11271.441032409668,0.11173291990117881,0.1294,0.0546,0.0547,0.0599,0.0549,0.1487,0.088,0.1492,0.1489,0.0,0.0,801,145,90,90,146,282,185,457,356,0,0
101251.53370857239,32901.5235118866,0.3249483964024242,0.0592,0.0591,0.0623,0.0593,0.0969,0.059,0.059,0.1612,0.059,0.0,0.0,366,157,103,89,258,112,124,492,141,0,0
100959.54005241394,10478.567359924316,0.10378976919352333,0.1387,0.051,0.1383,0.1386,0.0507,0.1386,0.051,0.0507,0.1385,0.0,0.0,855,136,228,206,135,261,107,157,331,0,0
100554.14796638489,15365.967063903809,0.1528128612759031,0.0752,0.075,0.0751,0.0748,0.0751,0.2047,0.0752,0.0751,0.1169,0.0,0.0,463,198,123,111,199,391,158,233,280,0,0
100322.3796672821,11279.028886795044,0.11242784435737868,0.0876,0.1495,0.1493,0.1497,0.0912,0.0961,0.0546,0.0549,0.0547,0.0,0.0,540,395,245,222,240,184,115,170,131,0,0
100750.55331611633,12106.704315185547,0.12016513971093919,0.0818,0.0722,0.0588,0.1597,0.0588,0.0702,0.1599,0.0586,0.1599,0.0,0.0,503,190,96,235,155,136,335,186,382,0,0
100430.81798362732,11669.81862449646,0.11619758614730118,0.1546,0.1545,0.0566,0.1543,0.0572,0.0567,0.0647,0.0566,0.1286,0.0,0.0,950,408,93,227,151,109,136,178,308,0,0
100045.24215507507,14326.740028381348,0.14320261233586892,0.1921,0.0704,0.0706,0.1113,0.0706,0.0996,0.0706,0.0705,0.1011,0.0,0.0,1183,186,115,164,187,191,149,222,242,0,0
100130.66383743286,14849.758739471436,0.1483038079481902,0.0559,0.0646,0.056,0.0556,0.0557,0.1522,0.1521,0.142,0.1176,0.0,0.0,343,171,91,82,147,294,321,444,283,0,0
98659.04383850098,15398.40177154541,0.15607694107345785,0.0643,0.0924,0.0643,0.064,0.0644,0.1693,0.064,0.1751,0.0861,0.0,0.0,392,244,105,94,171,328,135,556,207,0,0
98824.4617805481,14981.301042556763,0.15159506839333553,0.0621,0.0619,0.1015,0.1681,0.157,0.0619,0.0617,0.062,0.1123,0.0,0.0,377,163,165,246,415,121,129,197,270,0,0
97599.15048980713,10842.490940093994,0.11109206264276185,0.1481,0.0806,0.0542,0.0538,0.0544,0.1476,0.0542,0.148,0.1481,0.0,0.0,908,214,88,79,144,289,114,465,357,0,0
97492.66331100464,11826.750646591187,0.12130913491268037,0.1494,0.0869,0.0549,0.1492,0.0548,0.0549,0.1492,0.0548,0.1248,0.0,0.0,909,232,89,220,146,107,314,173,301,0,0
98714.90595245361,27704.76853942871,0.2806543578410824,0.0511,0.051,0.082,0.0506,0.127,0.1389,0.0508,0.051,0.1169,0.0,0.0,308,137,133,74,338,276,107,160,282,0,0
98239.9249382019,11728.692478179932,0.11938824755370994,0.0584,0.1474,0.0581,0.111,0.0584,0.071,0.159,0.0583,0.1589,0.0,0.0,353,396,94,163,156,141,336,184,385,0,0
99233.21041488647,10204.619457244873,0.10283472049911656,0.1371,0.0503,0.0764,0.1119,0.0503,0.137,0.1371,0.06,0.1371,0.0,0.0,827,135,122,164,134,271,288,188,336,0,0
98815.71012115479,12238.03602027893,0.12384706850028468,0.1654,0.076,0.0614,0.0606,0.0606,0.1653,0.0605,0.1654,0.0608,0.0,0.0,996,203,98,89,162,327,127,517,150,0,0
100260.8534526825,29482.58724784851,0.29405880991989203,0.0537,0.0535,0.1458,0.0535,0.0932,0.0533,0.0537,0.1457,0.0535,0.0,0.0,326,143,233,79,251,104,113,450,132,0,0
99881.57622718811,33364.671339035034,0.3340422988834757,0.0609,0.0659,0.0701,0.0604,0.1655,0.0608,0.0606,0.0609,0.0608,0.0,0.0,372,176,111,89,446,120,128,189,152,0,0
100549.1536693573,30978.44233894348,0.30809252199985715,0.056,0.109,0.0556,0.0955,0.056,0.0557,0.0558,0.1523,0.056,0.0,0.0,340,291,88,140,150,109,118,472,140,0,0
100437.89846229553,11345.972967147827,0.11296505742209564,0.1513,0.0555,0.0675,0.1043,0.0554,0.1513,0.0948,0.0556,0.1513,0.0,0.0,922,148,107,153,148,297,202,172,378,0,0
99905.87891578674,16692.809034347534,0.16708535288917617,0.1594,0.1593,0.0585,0.1588,0.0584,0.0585,0.063,0.0585,0.0586,0.0,0.0,974,424,93,233,156,115,134,182,146,0,0
98698.13310050964,11179.771165847778,0.11327236711218046,0.0559,0.0559,0.1519,0.1521,0.0559,0.0558,0.0557,0.1518,0.1517,0.0,0.0,343,151,243,224,148,107,119,472,378,0,0
98431.25479698181,26671.650499343872,0.27096729137869024,0.0682,0.068,0.0681,0.0676,0.0679,0.0679,0.0679,0.0681,0.1852,0.0,0.0,418,183,109,100,180,130,145,213,459,0,0
98554.29712677002,11407.0611038208,0.11574392427707075,0.0567,0.0565,0.0566,0.1541,0.0773,0.1542,0.1544,0.0983,0.0761,0.0,0.0,348,152,90,227,204,298,329,306,189,0,0
99753.58967590332,11571.291442871094,0.11599874731792513,0.1014,0.0568,0.0565,0.1023,0.0567,0.1546,0.0893,0.1118,0.1545,0.0,0.0,621,153,90,151,150,296,190,348,383,0,0
99099.14078903198,10684.758121490479,0.10781887750406245,0.1431,0.0526,0.0521,0.1426,0.1086,0.1427,0.1003,0.0886,0.0615,0.0,0.0,877,142,84,210,288,273,214,274,153,0,0
98934.98102760315,11350.957357406616,0.11473148566369731,0.0813,0.1529,0.056,0.061,0.1006,0.056,0.0713,0.1531,0.153,0.0,0.0,498,413,91,90,266,107,153,472,379,0,0
99167.55694770813,12065.953594207764,0.12167238929330729,0.0608,0.0598,0.1632,0.06,0.06,0.1632,0.088,0.06,0.1633,0.0,0.0,371,162,265,88,158,312,189,185,405,0,0
99904.5984210968,12100.514137268066,0.12112069242563321,0.0936,0.0596,0.0594,0.1625,0.0597,0.0597,0.1624,0.0597,0.1622,0.0,0.0,575,161,97,239,157,113,349,183,402,0,0
99609.33442115784,12355.744636535645,0.1240420359029242,0.0759,0.0607,0.061,0.0604,0.0607,0.1656,0.0605,0.1656,0.1656,0.0,0.0,467,164,99,89,160,312,130,512,410,0,0
99660.00241661072,15622.136556625366,0.15675432648817159,0.0629,0.0524,0.0577,0.1423,0.0524,0.1426,0.1383,0.1425,0.0522,0.0,0.0,386,141,93,208,138,271,296,442,129,0,0
100003.97881126404,12371.762149810791,0.12371269920329696,0.0607,0.0605,0.0604,0.0648,0.1078,0.131,0.1651,0.0608,0.1651,0.0,0.0,373,163,97,95,284,246,353,190,408,0,0
