portfolio_value,cash,w_c,w_XLF,w_XLK,w_XLV,w_XLY,w_XLP,w_XLE,w_XLI,w_XLU,w_XLB,w_XLRE,w_XLC,s_XLF,s_XLK,s_XLV,s_XLY,s_XLP,s_XLE,s_XLI,s_XLU,s_XLB,s_XLRE,s_XLC
100000.0,10411.963515281677,0.10411963515281678,0.1387,0.0508,0.051,0.0507,0.0507,0.1384,0.1385,0.1385,0.1385,0.0,0.0,871,134,84,73,130,336,313,432,390,0,0
100273.46751785278,27207.46077156067,0.2713326011860179,0.1348,0.0777,0.1344,0.0491,0.0493,0.0495,0.0496,0.1347,0.0496,0.0,0.0,846,206,221,71,126,120,112,418,140,0,0
99372.07262802124,31704.04493045807,0.319043812733338,0.0581,0.0579,0.0895,0.058,0.1583,0.058,0.058,0.085,0.0581,0.0,0.0,367,154,147,84,402,145,132,262,167,0,0
98041.75828552246,10122.137784004211,0.10324312783667118,0.1384,0.0507,0.0508,0.1165,0.1277,0.0855,0.1383,0.0506,0.1383,0.0,0.0,887,137,84,170,324,216,319,155,403,0,0
97111.75434207916,10992.898934364319,0.1131984383233516,0.1508,0.0552,0.0553,0.063,0.1505,0.1506,0.1508,0.0554,0.0552,0.0,0.0,973,149,92,92,381,382,348,168,161,0,0
96921.16867160797,27407.47129535675,0.28278106497270783,0.0515,0.0516,0.1399,0.0512,0.129,0.0514,0.0513,0.1401,0.0513,0.0,0.0,331,138,235,74,323,133,118,422,152,0,0
97321.51300239563,31866.271194458008,0.3274329612371891,0.094,0.0595,0.0594,0.0592,0.0596,0.0598,0.0597,0.1617,0.0596,0.0,0.0,602,158,99,85,149,155,137,491,177,0,0
96034.49196434021,13247.738324165344,0.1379477107983716,0.1844,0.0676,0.0673,0.0675,0.0676,0.0878,0.0677,0.0677,0.1844,0.0,0.0,1197,182,114,99,170,230,157,203,553,0,0
97339.17318534851,12135.446293830872,0.12467176262862996,0.0609,0.0608,0.0604,0.1463,0.0607,0.1654,0.0607,0.1654,0.0947,0.0,0.0,397,163,101,216,154,421,141,495,284,0,0
95670.20736122131,28433.488634109497,0.29720316719659,0.0543,0.0542,0.0828,0.1472,0.1473,0.0543,0.0542,0.0542,0.0542,0.0,0.0,356,147,138,218,373,140,126,161,163,0,0
95795.37678337097,12003.64768409729,0.1253050834722641,0.0699,0.069,0.0617,0.1286,0.1345,0.168,0.0619,0.0618,0.1193,0.0,0.0,459,187,103,190,337,443,144,181,364,0,0
94633.30974197388,9556.991788864136,0.10098972354366684,0.1352,0.106,0.0492,0.1351,0.0495,0.1088,0.1305,0.0497,0.135,0.0,0.0,895,286,81,199,124,291,304,147,410,0,0
95285.17616462708,11398.223878860474,0.11962221551826087,0.0587,0.1114,0.0584,0.0587,0.0585,0.16,0.1563,0.0587,0.1597,0.0,0.0,393,301,97,86,147,418,365,175,484,0,0
97140.16119861603,14520.78149986267,0.14948278158786452,0.1786,0.0657,0.1001,0.0654,0.0655,0.0655,0.0657,0.1785,0.0656,0.0,0.0,1197,176,167,96,165,167,155,533,199,0,0
95770.17650794983,13287.135623931885,0.13873980510862824,0.1852,0.0684,0.0681,0.0677,0.0678,0.0678,0.0679,0.0832,0.185,0.0,0.0,1249,183,113,99,170,179,160,247,572,0,0
97064.39410495758,29628.117295265198,0.30524187132129776,0.0559,0.0559,0.0557,0.1519,0.1518,0.0559,0.0559,0.0559,0.0558,0.0,0.0,376,150,93,222,382,144,131,167,172,0,0
96508.13178730011,10896.338047981262,0.11290590591885392,0.1513,0.0554,0.0554,0.0603,0.0555,0.1511,0.1511,0.0556,0.1513,0.0,0.0,1015,151,93,89,139,389,356,165,467,0,0
97226.00104522705,30408.587392807007,0.3127618853588528,0.0571,0.0853,0.0647,0.0572,0.0573,0.1554,0.0962,0.0571,0.057,0.0,0.0,386,231,112,84,143,391,227,168,177,0,0
98882.68106842041,10941.630420684814,0.11065264718210781,0.1478,0.0543,0.0542,0.1476,0.0542,0.0543,0.1284,0.1006,0.1479,0.0,0.0,988,145,94,218,135,135,300,295,454,0,0
98990.90411758423,27866.53362751007,0.28150600174748786,0.0514,0.0514,0.1397,0.1313,0.1397,0.0514,0.0512,0.0512,0.0513,0.0,0.0,345,137,242,193,347,130,120,149,157,0,0
97847.2953338623,11394.832023620605,0.11645525800933572,0.1552,0.1551,0.057,0.1282,0.0571,0.0568,0.1551,0.0622,0.0568,0.0,0.0,1060,416,99,190,142,147,367,178,173,0,0
98540.23355484009,13488.945524215698,0.13688769589437563,0.1836,0.0736,0.0673,0.0675,0.1151,0.0675,0.1535,0.0675,0.0674,0.0,0.0,1262,199,117,101,289,170,360,192,200,0,0
98938.15817260742,27597.78918361664,0.27893979121250223,0.051,0.0509,0.0507,0.051,0.1384,0.051,0.1387,0.1387,0.0507,0.0,0.0,349,138,89,77,352,129,321,398,147,0,0
98187.15910339355,26002.407815933228,0.26482493284638203,0.1317,0.0484,0.1317,0.0987,0.1317,0.0483,0.0483,0.0483,0.0481,0.0,0.0,906,134,234,153,333,124,112,137,140,0,0
97187.80441856384,10065.56635093689,0.10356820396504672,0.1341,0.0507,0.0583,0.1381,0.1379,0.1381,0.0506,0.0507,0.138,0.0,0.0,937,141,104,216,346,353,117,143,408,0,0
97145.4159193039,12806.380145072937,0.1318269114799082,0.0652,0.0652,0.1769,0.0651,0.065,0.1772,0.0648,0.0815,0.1072,0.0,0.0,456,182,313,102,162,464,149,229,313,0,0
97045.63471508026,23949.65974521637,0.2467876047751249,0.1365,0.0502,0.0788,0.0498,0.0646,0.0503,0.1364,0.1363,0.0503,0.0,0.0,959,140,138,78,161,132,315,383,148,0,0
95835.82718658447,12791.414558410645,0.13347215685326963,0.066,0.066,0.066,0.0659,0.1125,0.1793,0.0658,0.0659,0.1793,0.0,0.0,472,182,116,102,279,467,153,186,533,0,0
97614.40168762207,10926.980876922607,0.11194025356924557,0.1499,0.0549,0.0549,0.1498,0.055,0.1389,0.0797,0.0551,0.15,0.0,0.0,1048,152,97,232,137,359,185,159,441,0,0
98992.50528335571,10319.402397155762,0.10424427958073744,0.051,0.0507,0.0506,0.1383,0.0507,0.1387,0.1386,0.1386,0.1386,0.0,0.0,356,140,89,212,127,360,320,403,407,0,0
