portfolio_value,cash,w_c,w_XLF,w_XLK,w_XLV,w_XLY,w_XLP,w_XLE,w_XLI,w_XLU,w_XLB,w_XLRE,w_XLC,s_XLF,s_XLK,s_XLV,s_XLY,s_XLP,s_XLE,s_XLI,s_XLU,s_XLB,s_XLRE,s_XLC
100000.0,10940.232810020447,0.10940232810020446,0.1458,0.0536,0.0533,0.066,0.0536,0.1456,0.1458,0.0812,0.1456,0.0,0.0,1021,175,116,113,170,257,348,314,398,0,0
99984.71562767029,21149.671061515808,0.21152904150144664,0.0577,0.071,0.1125,0.1381,0.091,0.0576,0.0626,0.0575,0.1405,0.0,0.0,401,233,244,237,289,102,149,223,385,0,0
99715.46369552612,13234.606620788574,0.13272371335703234,0.0653,0.0781,0.075,0.065,0.0777,0.1769,0.0649,0.0947,0.1696,0.0,0.0,452,256,163,112,247,312,155,366,466,0,0
100177.57322692871,12494.396823883057,0.12472249448067525,0.0771,0.0613,0.0616,0.1198,0.0614,0.1672,0.0986,0.0614,0.1671,0.0,0.0,536,200,133,206,195,294,235,236,462,0,0
100110.86330413818,25227.266459465027,0.2519932964999437,0.0585,0.0583,0.0584,0.058,0.1366,0.1588,0.0582,0.0709,0.0903,0.0,0.0,405,190,125,100,437,281,139,274,248,0,0
100193.75059318542,12670.607552528381,0.12646105647820874,0.1698,0.0624,0.0621,0.0661,0.0625,0.0625,0.0698,0.1698,0.1485,0.0,0.0,1173,205,132,114,199,111,166,653,410,0,0
100533.94303321838,13274.662633895874,0.13204159941791666,0.1774,0.0845,0.065,0.0649,0.0652,0.0651,0.0819,0.1372,0.1268,0.0,0.0,1232,278,138,112,208,116,195,522,350,0,0
99410.42796516418,32201.526681900024,0.323925038258403,0.0592,0.059,0.0647,0.0689,0.1611,0.059,0.0592,0.0858,0.0593,0.0,0.0,413,194,137,120,511,106,141,326,164,0,0
100014.0299692154,33399.62068939209,0.3339493539023734,0.0611,0.0609,0.1012,0.061,0.1383,0.0611,0.0607,0.061,0.0608,0.0,0.0,425,198,213,106,439,109,144,233,167,0,0
100221.22994422913,13353.536451339722,0.133240596416255,0.0787,0.0655,0.0867,0.0657,0.0657,0.0892,0.0656,0.1709,0.1788,0.0,0.0,542,211,183,114,209,160,155,655,489,0,0
100314.19506072998,34571.582597732544,0.3446330060945312,0.0631,0.1014,0.0631,0.063,0.0946,0.0758,0.0629,0.0685,0.063,0.0,0.0,438,327,133,110,301,136,149,261,172,0,0
100068.1979560852,12082.327527999878,0.120740932431922,0.0593,0.059,0.0756,0.0588,0.0591,0.1613,0.0838,0.1612,0.1611,0.0,0.0,412,191,159,103,189,289,199,613,440,0,0
100581.83944702148,30378.64347934723,0.3020291102883268,0.0552,0.055,0.0552,0.1499,0.0643,0.0549,0.1501,0.0585,0.055,0.0,0.0,385,178,116,264,206,98,358,221,150,0,0
100646.74419307709,12470.056309700012,0.12389925188019899,0.1543,0.0614,0.0614,0.0614,0.0614,0.167,0.0614,0.167,0.0809,0.0,0.0,1076,199,129,108,197,297,146,631,223,0,0
99805.80640506744,18265.63436794281,0.18301174075795462,0.1146,0.0854,0.0681,0.0911,0.0683,0.0678,0.075,0.1786,0.0681,0.0,0.0,806,275,143,160,219,121,179,671,189,0,0
98229.96309947968,12115.639410972595,0.12333954965149296,0.1182,0.0644,0.0605,0.1147,0.1651,0.0602,0.1649,0.0682,0.0606,0.0,0.0,837,208,128,202,526,108,400,255,170,0,0
97926.89351654053,22975.690468788147,0.2346208446294418,0.0556,0.0557,0.0978,0.0556,0.1514,0.0557,0.0555,0.0868,0.1513,0.0,0.0,395,181,208,98,483,100,134,323,425,0,0
98456.59039592743,29707.241101264954,0.3017293304775438,0.0698,0.0696,0.0853,0.0699,0.1081,0.0698,0.0698,0.0861,0.0698,0.0,0.0,492,229,180,123,344,125,168,321,196,0,0
97860.68925571442,22805.801133155823,0.2330435367521603,0.157,0.0577,0.0576,0.0574,0.0578,0.0961,0.0575,0.0691,0.1568,0.0,0.0,1113,190,122,102,186,172,139,256,436,0,0
98617.28167629242,28762.19110584259,0.29165467367325554,0.0734,0.053,0.1447,0.0528,0.1445,0.0528,0.0531,0.0642,0.0699,0.0,0.0,517,174,303,93,468,95,128,236,195,0,0
98191.34088039398,31427.120818138123,0.3200600026067393,0.1115,0.0586,0.0585,0.0584,0.0586,0.0585,0.0584,0.1592,0.0583,0.0,0.0,791,191,123,104,190,106,141,578,163,0,0
96887.6887626648,29336.154447555542,0.30278516106847303,0.0554,0.0554,0.0553,0.0554,0.0554,0.0554,0.1506,0.1509,0.0634,0.0,0.0,398,182,117,100,181,101,369,545,179,0,0
97222.94442558289,12107.469444274902,0.12453304634835753,0.1108,0.0615,0.0613,0.0615,0.1526,0.0984,0.0614,0.1009,0.167,0.0,0.0,791,202,129,110,498,178,150,368,469,0,0
