window,best_agent_path,n_eval_episodes,mean_reward,std_reward,Annual return,Cumulative returns,Annual volatility,Sharpe ratio,Calmar ratio,Stability,Max drawdown,Omega ratio,Sortino ratio,Skew,Kurtosis,Tail ratio,Daily value at risk (95%),Portfolio turnover (in %),final_portfolio_value_first_episode
1,agent_seed0_valrew-8,1,-23.997775873856877,0.0,0.07615413245180713,0.07490116512298584,0.1007067552568499,0.7792468665919368,1.0112114943602497,0.908507188880339,-0.07530979708650029,1.1392548870542347,1.1883473616921854,-0.06416974324486188,0.705649028291413,1.11868237382294,-0.010244011379937218,42.3830396275517,107490
2,agent_seed7_valrew-24,1,3.697691031960489,0.0,0.21728919112714773,0.2153910598087312,0.09081234541359948,2.211520190468811,4.238094757344484,0.916747966966613,-0.051270489115561285,1.4282635392689709,3.042375332702098,-0.626831910614047,1.2735485274102625,0.9356502404060196,-0.009891285400254867,41.38728614038459,121539
3,agent_seed13_valrew6,1,21.616600664092623,0.0,0.1118439220751013,0.11090877983093272,0.09060125022572443,1.2157837687870143,1.59430304532014,0.9169254113664618,-0.07015223511201583,1.2313737881577502,1.5821373322600933,-0.42706255459418746,1.6279255167661186,0.7915573404909472,-0.010074772581039764,44.305055200324595,111091
4,agent_seed15_valrew22,1,10.463515673096062,0.0,-0.007043160789256264,-0.006987458438873273,0.12447487473037692,0.0054887509025737195,-0.07060013956878522,0.8893039964452535,-0.09976128704949885,1.0009212916633714,0.008273719923830995,-0.08362357716166387,1.107017163764604,0.9080706838136865,-0.013412920780178488,46.18858603753309,99301
5,agent_seed24_valrew10,1,49.334480241735406,0.0,0.19843291373027605,0.19671245071411136,0.10593055651953275,1.7624393442729074,3.5278368301151084,0.9042159058766708,-0.056247758410017355,1.361571550914153,2.4156029769876315,-0.374161464610509,2.3112015504487986,1.245117723984988,-0.00973959053942634,48.483641971654706,119671
