date,portfolio_value,cash,w_c,w_Canada,w_France,w_Germany,w_Italy,w_Japan,w_Switzerland,w_UK,w_US,s_Canada,s_France,s_Germany,s_Italy,s_Japan,s_Switzerland,s_UK,s_US,purchases,sales
2015-01-02,100000.0,235.88347625732422,0.002358834762573242,0.1817,0.1815,0.1816,0.0724,0.0667,0.0668,0.0666,0.1801,791,863,941,192,267,362,281,105,99764.11652374268,0.0
2015-01-05,97055.07216835022,140.1635036468506,0.0014441646429743018,0.0887,0.1462,0.0825,0.2048,0.1395,0.0811,0.0753,0.1805,385,699,437,533,549,442,316,104,21905.17056465149,21809.450592041016
2015-01-06,95982.20674133301,106.80536270141602,0.0011127621079733126,0.0906,0.0729,0.0729,0.1984,0.1843,0.073,0.1086,0.1982,395,346,386,519,725,398,456,114,9382.421241760254,9349.06310081482
2015-01-07,96911.45856666565,242.02489280700684,0.0024973815933284843,0.0917,0.1163,0.0773,0.1636,0.2103,0.0772,0.1006,0.1604,403,553,409,426,830,421,423,92,7804.848129272461,7940.067659378052
2015-01-08,98408.40403747559,109.77661514282227,0.0011155207343980242,0.0737,0.1347,0.2006,0.0736,0.2005,0.1689,0.0737,0.0734,325,638,1064,192,792,918,309,42,22913.59455680847,22781.346279144287
2015-01-09,97698.34434890747,152.97647857666016,0.0015658042067769272,0.1606,0.1106,0.1668,0.1412,0.141,0.0858,0.0858,0.1065,709,524,895,370,550,467,359,61,19544.83051300049,19588.030376434326
2015-01-12,97371.42431259155,153.22766494750977,0.0015736409940518368,0.0834,0.1206,0.1219,0.1298,0.2149,0.0985,0.0834,0.146,373,566,651,340,838,531,349,84,13111.475643157959,13111.726829528809
2015-01-13,97697.49610710144,88.15398406982422,0.0009023156946948252,0.1813,0.0666,0.0666,0.1814,0.1813,0.0666,0.074,0.1814,817,312,354,473,706,359,310,105,18152.818630218506,18087.74494934082
2015-01-14,97443.3710899353,194.69489097595215,0.001998031151819025,0.0834,0.1173,0.1056,0.1504,0.183,0.1274,0.1001,0.1308,377,547,560,392,709,685,422,76,17266.77515220642,17373.31605911255
2015-01-15,98077.51964759827,207.71403694152832,0.002117855729711195,0.1977,0.0727,0.0726,0.1978,0.115,0.0727,0.0728,0.1966,905,342,388,515,432,394,307,116,22593.204559326172,22606.223705291748
