date,portfolio_value,cash,w_c,w_Canada,w_France,w_Germany,w_Italy,w_Japan,w_Switzerland,w_UK,w_US,s_Canada,s_France,s_Germany,s_Italy,s_Japan,s_Switzerland,s_UK,s_US,purchases,sales
2014-01-22,101198.69387435913,123.79562950134277,0.0012232927596381663,0.2069,0.1422,0.0761,0.076,0.2068,0.076,0.076,0.1387,931,605,345,192,817,374,293,93,20790.85776901245,20756.06011199951
2014-01-23,100963.76446533203,205.11161041259766,0.0020315368736377386,0.1403,0.17,0.1137,0.1038,0.1582,0.1157,0.0851,0.1112,632,720,514,267,620,568,329,75,14389.033237457275,14470.34921836853
2014-01-24,98398.57885742188,102.31054496765137,0.0010397563273337298,0.1482,0.1362,0.0814,0.1598,0.1356,0.0814,0.1178,0.1385,661,581,370,407,530,403,459,93,11971.549207687378,11868.748142242432
2014-01-27,97607.01896476746,152.15585708618164,0.001558861839035411,0.1623,0.0992,0.0981,0.1817,0.1108,0.0815,0.0871,0.1778,729,421,443,465,435,400,339,119,9059.192142486572,9109.037454605103
2014-01-28,98558.7258605957,165.80617713928223,0.0016823084479988433,0.2089,0.1311,0.0854,0.1171,0.1125,0.1497,0.1043,0.0893,942,555,382,300,441,732,407,60,16333.93285369873,16347.583173751831
2014-01-29,97553.11582183838,243.75664520263672,0.002498706916217934,0.1609,0.1451,0.1184,0.1186,0.1225,0.0915,0.0871,0.1534,722,619,532,301,480,449,341,103,11975.556629180908,12053.507097244263
2014-01-30,98087.2878036499,171.5580711364746,0.0017490347116121483,0.1925,0.1002,0.076,0.2069,0.1215,0.076,0.0815,0.1437,862,428,342,527,476,373,320,96,11769.556602478027,11697.358028411865
2014-01-31,96860.55060005188,234.23199081420898,0.002418239307573,0.2124,0.078,0.0986,0.1772,0.0929,0.0781,0.078,0.1823,940,335,443,458,363,385,306,121,7768.476942062378,7831.150861740112
2014-02-03,95000.71196365356,185.33163452148438,0.0019508446904312742,0.2022,0.1029,0.0742,0.1075,0.2022,0.0981,0.0743,0.1367,889,441,338,278,785,483,292,91,14569.523738861084,14520.62338256836
2014-02-04,95688.6920413971,140.59333419799805,0.0014692784612122631,0.0969,0.184,0.1351,0.0849,0.1376,0.1493,0.1087,0.1021,428,789,609,221,534,730,426,68,21621.567010879517,21576.82871055603
2014-02-05,95907.21699142456,153.7005443572998,0.0016025962297607152,0.1495,0.1062,0.1004,0.1209,0.1707,0.0891,0.0881,0.1736,659,456,451,315,662,436,345,116,18539.92692756653,18553.03413772583
2014-02-06,97567.14868164062,146.6972713470459,0.0015035518955844015,0.2226,0.0818,0.0818,0.1428,0.0827,0.0919,0.0818,0.2131,985,351,363,374,320,448,321,143,13551.654098510742,13544.650825500488
2014-02-07,98756.129114151,239.45745658874512,0.0024247351403573056,0.1885,0.0692,0.0693,0.1882,0.1806,0.0693,0.076,0.1565,838,297,307,491,696,337,299,105,14064.035800933838,14156.795986175537
2014-02-10,98555.12336158752,245.25184631347656,0.002488473840306358,0.2103,0.0772,0.0774,0.2103,0.0872,0.0772,0.1351,0.1227,933,332,345,550,336,376,532,82,12597.439207077026,12603.233596801758
