date,portfolio_value,cash,w_c,w_XLF,w_XLK,w_XLV,w_XLY,w_XLP,w_XLE,w_XLI,w_XLU,w_XLB,w_XLRE,w_XLC,s_XLF,s_XLK,s_XLV,s_XLY,s_XLP,s_XLE,s_XLI,s_XLU,s_XLB,s_XLRE,s_XLC
2012-01-03,100000.0,18772.232036590576,0.18772232036590575,0.0901,0.0899,0.0899,0.0924,0.09,0.09,0.09,0.0899,0.09,0.0,0.0,1068,418,320,276,397,204,336,401,345,0,0
2012-01-04,100092.97951698303,18629.568954467773,0.18612263361894274,0.0906,0.0899,0.0899,0.0937,0.0899,0.0901,0.0898,0.09,0.0899,0.0,0.0,1078,417,322,278,398,204,334,404,342,0,0
2012-01-05,100345.16710090637,18737.2145280838,0.1867276229580822,0.0902,0.0901,0.0902,0.0922,0.0901,0.0899,0.0902,0.0902,0.0902,0.0,0.0,1061,418,323,272,400,205,336,405,343,0,0
2012-01-06,100132.13030719757,18738.606699943542,0.18713879992820445,0.09,0.0899,0.09,0.0932,0.0899,0.09,0.0899,0.0899,0.09,0.0,0.0,1063,416,321,274,401,206,335,405,342,0,0
2012-01-09,100322.88922786713,18730.193865776062,0.18669910735159823,0.0902,0.0901,0.09,0.0929,0.0901,0.0898,0.0902,0.09,0.09,0.0,0.0,1062,418,321,274,402,205,334,406,342,0,0
2012-01-10,101065.01533412933,18866.9798746109,0.18668161096334968,0.0901,0.0899,0.09,0.0935,0.09,0.0899,0.09,0.0899,0.09,0.0,0.0,1050,419,321,276,403,205,331,408,338,0,0
2012-01-11,101135.9731760025,18969.521695137024,0.1875645341556678,0.0901,0.0895,0.0894,0.0932,0.0895,0.0921,0.0896,0.0895,0.0894,0.0,0.0,1038,416,319,275,403,213,329,408,333,0,0
2012-01-12,101372.38459682465,18994.612396240234,0.18737462349125025,0.0901,0.0897,0.0898,0.094,0.0897,0.0902,0.0897,0.0898,0.0897,0.0,0.0,1037,416,320,277,405,211,327,411,330,0,0
2012-01-13,101011.34442806244,18926.56523990631,0.18737068937227444,0.0905,0.0895,0.0894,0.0939,0.0895,0.0909,0.0895,0.0896,0.0897,0.0,0.0,1046,416,319,276,403,213,328,409,331,0,0
2012-01-17,101248.91100215912,18951.030314445496,0.18717268291449937,0.0901,0.0895,0.0895,0.0942,0.0896,0.0913,0.0895,0.0896,0.0894,0.0,0.0,1052,415,318,277,403,213,327,410,329,0,0
2012-01-18,102076.86413097382,19119.051966667175,0.18730054189493625,0.0902,0.0896,0.0895,0.0946,0.0898,0.0899,0.0896,0.0897,0.0897,0.0,0.0,1046,413,319,276,406,208,327,414,329,0,0
2012-01-19,102395.1524515152,19227.37749004364,0.18777624750495814,0.0901,0.0893,0.0893,0.0941,0.0894,0.0918,0.0894,0.0893,0.0895,0.0,0.0,1038,410,319,273,405,212,324,417,329,0,0
2012-01-20,102310.16585445404,19311.29665374756,0.18875247139389567,0.0905,0.0889,0.0888,0.0948,0.0889,0.0927,0.089,0.0888,0.0889,0.0,0.0,1035,407,317,277,402,214,324,414,328,0,0
2012-01-23,102414.87466907501,19265.512383461,0.18811244407330582,0.0912,0.0886,0.0886,0.0946,0.0887,0.0942,0.0885,0.0887,0.0887,0.0,0.0,1040,405,318,277,402,216,323,412,328,0,0
2012-01-24,102283.95405864716,19262.58411693573,0.1883245939621285,0.0905,0.0889,0.089,0.0943,0.089,0.0932,0.089,0.0889,0.0889,0.0,0.0,1032,406,319,275,405,214,324,416,328,0,0
2012-01-25,103127.94058704376,19414.338483810425,0.18825488391697312,0.0905,0.0891,0.0892,0.0939,0.0891,0.0923,0.0893,0.0892,0.0892,0.0,0.0,1039,407,320,274,404,211,324,414,327,0,0
2012-01-26,102778.61261940002,19293.518087387085,0.1877191917236031,0.0907,0.089,0.0888,0.0941,0.089,0.0939,0.0888,0.089,0.089,0.0,0.0,1046,408,319,274,404,217,322,410,325,0,0
