portfolio_value,cash,w_c,w_XLF,w_XLK,w_XLV,w_XLY,w_XLP,w_XLE,w_XLI,w_XLU,w_XLB,w_XLRE,w_XLC,s_XLF,s_XLK,s_XLV,s_XLY,s_XLP,s_XLE,s_XLI,s_XLU,s_XLB,s_XLRE,s_XLC
104048.19062805176,17556.524832725525,0.16873455200663742,0.0675,0.0679,0.0672,0.0674,0.0675,0.1833,0.0673,0.1087,0.1345,0.0,0.0,609,279,197,159,258,377,214,464,456,0,0
103851.55382919312,15085.895177841187,0.14526402948821818,0.0672,0.0672,0.0672,0.0672,0.0672,0.1825,0.0672,0.0877,0.1814,0.0,0.0,608,276,196,158,256,379,213,373,614,0,0
104373.99115943909,13593.473093986511,0.13023812678794147,0.0645,0.1754,0.0645,0.1172,0.0644,0.0645,0.1754,0.0795,0.0644,0.0,0.0,581,719,188,276,244,133,555,337,220,0,0
103195.95901298523,11594.721539497375,0.11235635242304791,0.1167,0.129,0.1441,0.0554,0.1254,0.0552,0.0555,0.0555,0.1507,0.0,0.0,1055,530,418,131,471,115,176,233,524,0,0
102667.67870998383,21286.364289283752,0.20733267330815555,0.0807,0.0949,0.0714,0.0717,0.1069,0.0714,0.1527,0.0715,0.0716,0.0,0.0,731,391,207,170,398,149,485,300,250,0,0
103400.14476394653,33470.695311546326,0.3237006620054255,0.0591,0.059,0.0957,0.0648,0.059,0.0952,0.0914,0.0591,0.0931,0.0,0.0,533,242,278,154,220,198,290,247,323,0,0
102124.38792896271,14104.808346748352,0.1381140061917394,0.0609,0.0608,0.061,0.0608,0.0608,0.1654,0.0609,0.1656,0.1657,0.0,0.0,557,250,177,145,227,349,195,690,581,0,0
102721.0660276413,12660.188340187073,0.12324821801187628,0.0606,0.0606,0.0604,0.0851,0.0606,0.1647,0.1069,0.1132,0.1647,0.0,0.0,555,249,176,202,227,346,342,473,575,0,0
103990.4560470581,13770.767806053162,0.13242338123627007,0.0965,0.0655,0.0655,0.0845,0.0656,0.1269,0.1192,0.0656,0.1783,0.0,0.0,881,270,191,200,247,266,379,275,619,0,0
104014.46248149872,12591.489371299744,0.12105517897128411,0.0599,0.06,0.0599,0.0904,0.06,0.1628,0.1631,0.0598,0.163,0.0,0.0,548,248,175,213,226,342,519,250,565,0,0
104146.77366733551,13023.308819770813,0.12504764536796623,0.1065,0.0615,0.0614,0.1066,0.0649,0.1671,0.078,0.0615,0.1675,0.0,0.0,972,254,178,251,244,351,249,257,581,0,0
104478.32118320465,17731.40180873871,0.16971369378769371,0.0898,0.0663,0.0663,0.1072,0.078,0.0663,0.1409,0.1492,0.0662,0.0,0.0,816,274,192,251,292,140,452,619,230,0,0
105236.00184345245,30299.625670433044,0.28792072237318866,0.0526,0.0526,0.0972,0.1298,0.0772,0.0525,0.1431,0.0525,0.0546,0.0,0.0,477,216,281,303,290,111,456,218,190,0,0
105314.49195671082,13040.88324546814,0.1238280031852459,0.1508,0.061,0.0689,0.0612,0.061,0.1662,0.0611,0.0798,0.1661,0.0,0.0,1360,251,199,143,230,351,195,332,573,0,0
105555.786403656,15343.786973953247,0.14536187448101665,0.0626,0.0625,0.0625,0.0654,0.0625,0.1704,0.1284,0.1704,0.0699,0.0,0.0,562,257,181,153,236,359,410,714,241,0,0
105996.43724822998,18501.785734176636,0.17455101524636946,0.0622,0.0621,0.0689,0.062,0.062,0.1691,0.062,0.1079,0.1692,0.0,0.0,559,256,200,144,235,356,197,453,581,0,0
106280.85956859589,14393.996333122253,0.1354335709322342,0.0669,0.0667,0.0667,0.0834,0.0667,0.1816,0.1162,0.1496,0.0669,0.0,0.0,598,275,193,194,253,383,369,628,229,0,0
106130.53606319427,13281.624991416931,0.125144237314589,0.167,0.062,0.0618,0.1684,0.062,0.0618,0.1684,0.0618,0.0618,0.0,0.0,1499,256,178,392,235,130,537,260,211,0,0
106375.35258197784,17948.228861808777,0.16872544650770513,0.0645,0.1301,0.0725,0.0737,0.1617,0.0643,0.1358,0.0644,0.0644,0.0,0.0,579,539,209,171,613,136,432,270,221,0,0
106812.73296165466,21871.862133979797,0.20476830362379836,0.0604,0.0603,0.1223,0.11,0.0825,0.0602,0.1642,0.0749,0.0604,0.0,0.0,541,249,354,256,313,126,522,315,207,0,0
106762.71648311615,35651.3238325119,0.33393046755371697,0.0612,0.0815,0.0611,0.0612,0.0669,0.0611,0.1342,0.0611,0.0777,0.0,0.0,546,338,177,143,255,128,426,255,266,0,0
106352.14125537872,11954.140480995178,0.11240150259213141,0.0749,0.0555,0.0554,0.1199,0.0554,0.1507,0.1508,0.0741,0.1509,0.0,0.0,672,229,161,281,211,317,480,310,518,0,0
