window,best_agent_path,status,n_eval_episodes,final_portfolio_value_first_episode,mean_reward,std_reward,Annual return,Cumulative returns,Annual volatility,Sharpe ratio,Calmar ratio,Stability,Max drawdown,Omega ratio,Sortino ratio,Skew,Kurtosis,Tail ratio,Daily value at risk (95%),Portfolio turnover
1,../models/20250601_193031/agent_win1_seed0_valrew0.94.zip,completed,1.0,98977.21087140005,-0.14644622867117363,0.0,-0.0136138887051519,-0.010227891285999546,0.11287923825024124,-0.24218885407465138,-0.2959433792822436,0.8985700924498159,-0.04600166673155483,0.961026191085054,-0.3871844855323953,0.08620512658961246,0.5085734993078597,1.2229594977637874,-0.010403084798213391,
2,../models/20250601_193031/agent_win2_seed3_valrew0.10.zip,completed,1.0,101945.61342404995,2.5734197213743237,0.0,0.0257492772058614,0.019456134240499523,0.10605036983949467,0.10423545782037345,0.46144547351441667,0.9041179563505012,-0.055801343135413656,1.0168103518826235,0.16003076374470915,-0.26329324451356545,0.6404627057807439,0.9455245664454488,-0.011435571565433188,
3,../models/20250601_193031/agent_win3_seed7_valrew2.22.zip,completed,1.0,102189.09071380382,6.476283741816492,0.0,0.02898270984550866,0.021890907138038207,0.09599062268710475,0.13728514283420715,0.501379314346814,0.9124165657076893,-0.057805954526198786,1.0237441362320452,0.20306201595138768,0.05525903271010321,1.5896383267403218,0.9546783968116147,-0.009330640126714213,
4,../models/20250601_193031/agent_win4_seed11_valrew6.69.zip,completed,1.0,101002.72195066999,3.4534706438147014,0.0,0.013250765288586486,0.010027219506699936,0.1345826791039303,0.01631834619532477,0.20436092984897206,0.8813813381936864,-0.06484001270878509,1.0026626790689435,0.02953447206467426,0.4838796112705152,1.2970294620102898,1.1078789454100932,-0.013278174066267516,
