date,portfolio_value,cash,w_c,w_XLF,w_XLK,w_XLV,w_XLY,w_XLP,w_XLE,w_XLI,w_XLU,w_XLB,w_XLRE,w_XLC,s_XLF,s_XLK,s_XLV,s_XLY,s_XLP,s_XLE,s_XLI,s_XLU,s_XLB,s_XLRE,s_XLC,purchases,sales
2012-01-03,100000.0,11122.318781852722,0.11122318781852722,0.1496,0.0706,0.0551,0.0549,0.0551,0.1496,0.0549,0.1495,0.1495,0.0,0.0,1773,328,196,164,243,339,205,667,573,0,0,88877.68121814728,0.0
2012-01-04,100077.37510871887,12915.767454147339,0.1290578159160981,0.0639,0.1104,0.0735,0.0637,0.0637,0.1736,0.0638,0.1737,0.0847,0.0,0.0,760,512,263,189,282,393,237,780,322,0,0,13335.355094909668,15128.803767204285
2012-01-05,100246.11676216125,29238.896863937378,0.29167111712973454,0.0533,0.0533,0.1448,0.0533,0.145,0.0531,0.0817,0.0533,0.0705,0.0,0.0,627,247,518,157,643,121,304,239,268,0,0,17111.086570739746,33434.215980529785
2012-01-06,100067.96662330627,32107.491653442383,0.32085684097396666,0.0587,0.0794,0.0631,0.0586,0.1595,0.0839,0.0586,0.0586,0.0587,0.0,0.0,693,367,225,172,711,192,218,264,223,0,0,8855.888597488403,11724.483386993408
2012-01-09,100218.03094959259,10349.636850357056,0.1032712053139688,0.1389,0.0649,0.0511,0.1236,0.0509,0.1386,0.1389,0.0511,0.1388,0.0,0.0,1633,301,182,364,227,316,514,230,527,0,0,36034.66747665405,14276.812673568726
2012-01-10,101214.55172634125,20652.97256088257,0.20405141561781576,0.0625,0.1134,0.1697,0.0622,0.1251,0.0622,0.0733,0.0623,0.0654,0.0,0.0,729,529,606,184,561,142,270,283,246,0,0,25676.71376800537,35980.049478530884
2012-01-11,101267.67485237122,12791.219198226929,0.1263109794598727,0.0625,0.0623,0.0624,0.0623,0.0623,0.111,0.1113,0.1697,0.1698,0.0,0.0,721,290,223,184,281,257,409,775,633,0,0,30283.892908096313,22422.139545440674
2012-01-12,101566.81237411499,12681.110876083374,0.12485486725105929,0.1401,0.1035,0.1,0.0616,0.0617,0.1677,0.0681,0.0617,0.1106,0.0,0.0,1616,481,357,182,279,393,249,283,408,0,0,21763.745697021484,21653.63737487793
2012-01-13,101127.80585670471,34507.33649349213,0.3412250092955449,0.0872,0.0626,0.0812,0.0625,0.0843,0.0622,0.0624,0.0624,0.0939,0.0,0.0,1009,291,290,184,380,146,229,285,347,0,0,2379.3664875030518,24205.592104911804
2012-01-17,101310.37062263489,14064.529992103577,0.1388261626688913,0.0622,0.1692,0.0953,0.0622,0.1692,0.0621,0.0993,0.0622,0.0793,0.0,0.0,727,785,339,183,761,145,363,285,292,0,0,24479.888635635376,4037.082134246826
2012-01-18,102130.89060306549,12443.366478919983,0.12183744218271304,0.0604,0.164,0.1052,0.1299,0.1129,0.0601,0.1095,0.0602,0.076,0.0,0.0,700,756,375,379,511,139,400,278,279,0,0,8925.762796401978,7304.599283218384
2012-01-19,102544.00915050507,16286.933987617493,0.15882872263861816,0.1279,0.158,0.0975,0.0661,0.0772,0.0661,0.0865,0.0663,0.0956,0.0,0.0,1475,726,349,192,350,153,314,310,352,0,0,10243.901865005493,14087.469373703003
2012-01-20,102509.91847515106,19297.15076160431,0.18824666967501333,0.0878,0.1116,0.0649,0.0649,0.0649,0.0947,0.065,0.1767,0.0814,0.0,0.0,1006,512,232,190,294,219,237,825,301,0,0,14232.852199554443,17243.06897354126
2012-01-23,102678.3258600235,24329.87349510193,0.2369523781315805,0.0539,0.0882,0.1278,0.0538,0.0539,0.1201,0.0538,0.1466,0.0648,0.0,0.0,617,404,460,158,245,276,197,683,240,0,0,9050.668888092041,14083.39162158966
2012-01-24,102501.6116361618,11260.024084091187,0.10985216626700076,0.0545,0.1481,0.0543,0.0544,0.0544,0.1482,0.0877,0.1404,0.1481,0.0,0.0,623,678,195,159,248,341,320,658,548,0,0,21178.313680648804,8108.4642696380615
2012-01-25,103541.87861156464,10836.552119255066,0.10465863923435446,0.1411,0.124,0.0516,0.141,0.0518,0.1411,0.0519,0.0517,0.1411,0.0,0.0,1626,569,186,413,236,324,189,241,519,0,0,17989.190691947937,17565.718727111816
2012-01-26,103069.87913417816,13632.973525047302,0.13226922976497973,0.0774,0.0655,0.0655,0.0654,0.0655,0.1782,0.0704,0.1015,0.1783,0.0,0.0,896,301,236,191,298,413,256,469,653,0,0,17549.42778968811,20345.849195480347
2012-01-27,102903.7239522934,12919.013591766357,0.1255446653976844,0.1167,0.0621,0.062,0.062,0.0621,0.1686,0.0619,0.1103,0.1687,0.0,0.0,1343,285,223,181,284,391,225,515,616,0,0,5009.697409629822,4295.737476348877
2012-01-30,102547.41682720184,13273.513975143433,0.12943781897022377,0.064,0.1726,0.1174,0.0638,0.0933,0.09,0.0639,0.1016,0.104,0.0,0.0,741,787,421,186,428,209,232,476,379,0,0,20541.951196670532,20896.451580047607
2012-01-31,102607.42328453064,13750.463985443115,0.13401042093526747,0.0664,0.1241,0.0664,0.0819,0.0663,0.1604,0.1478,0.0663,0.0865,0.0,0.0,766,565,238,239,304,375,539,309,315,0,0,18011.79651260376,18488.746522903442
2012-02-01,103325.46479415894,14021.79578781128,0.13570513150601324,0.0673,0.0674,0.0674,0.0672,0.0674,0.183,0.0942,0.0673,0.1832,0.0,0.0,770,306,241,197,309,429,342,315,665,0,0,12707.666582107544,12978.998384475708
2012-02-02,103414.41342544556,13557.4781665802,0.13109853566354343,0.137,0.1463,0.1275,0.0797,0.0818,0.0648,0.0919,0.071,0.069,0.0,0.0,1560,663,458,234,374,151,334,333,252,0,0,24732.528549194336,24268.210927963257
2012-02-03,104663.01344871521,19076.321184158325,0.18226420734107476,0.0746,0.1501,0.1156,0.0745,0.1051,0.0743,0.0744,0.0745,0.0746,0.0,0.0,837,680,418,217,485,172,269,353,272,0,0,4874.891101837158,10393.734119415283
2012-02-06,104538.62992286682,23483.317304611206,0.22463769921165244,0.0548,0.0548,0.0548,0.0546,0.0548,0.1487,0.0547,0.149,0.1491,0.0,0.0,617,248,199,159,253,340,198,708,546,0,0,23314.426488876343,27721.422609329224
