date,portfolio_value,cash,w_c,w_XLF,w_XLK,w_XLV,w_XLY,w_XLP,w_XLE,w_XLI,w_XLU,w_XLB,w_XLRE,w_XLC,s_XLF,s_XLK,s_XLV,s_XLY,s_XLP,s_XLE,s_XLI,s_XLU,s_XLB,s_XLRE,s_XLC,purchases,sales
2017-01-03,100000.0,5958.04714012146,0.0595804714012146,0.1572,0.0579,0.06,0.0578,0.1166,0.0577,0.1571,0.061,0.1573,0.0578,0.0,785,130,99,77,282,109,291,165,373,249,0,94041.95285987854,0.0
2017-01-04,100677.69525146484,15494.82103919983,0.1539052021453022,0.0559,0.0559,0.0558,0.0559,0.1519,0.0556,0.1516,0.0556,0.0557,0.152,0.0,279,126,92,74,370,106,281,151,131,651,0,13089.822406768799,22626.596305847168
2017-01-05,100714.57292366028,14377.639978408813,0.1427563019038644,0.0516,0.0867,0.0512,0.0513,0.1404,0.0513,0.0516,0.1405,0.0924,0.1403,0.0,260,195,84,68,341,98,96,381,218,598,0,15340.600917816162,14223.419857025146
2017-01-06,100937.45844078064,14812.662576675415,0.14675089709501563,0.053,0.0532,0.0531,0.053,0.1106,0.0528,0.1441,0.1362,0.0529,0.1445,0.0,267,119,87,70,269,101,267,369,125,617,0,10399.56145477295,10834.58405303955
2017-01-09,100364.02928352356,15080.36240196228,0.15025664582836726,0.0542,0.0732,0.0795,0.054,0.1473,0.0538,0.0539,0.1322,0.054,0.1476,0.0,273,163,129,71,359,104,100,361,127,631,0,9052.365821838379,9320.065647125244
2017-01-10,100100.30547142029,15912.524240493774,0.1589657910188593,0.1162,0.0577,0.0576,0.0574,0.0626,0.0576,0.0607,0.1567,0.0576,0.1568,0.0,583,128,93,75,153,112,112,428,135,677,0,11420.200839996338,12252.362678527832
2017-01-11,100385.57705688477,7326.327136993408,0.07298187002343824,0.1829,0.0672,0.0673,0.0673,0.1828,0.0669,0.0864,0.0671,0.0669,0.0721,0.0,914,149,110,88,447,129,159,182,156,314,0,26065.304204940796,17479.10710144043
2017-01-12,100153.27590560913,16349.738399505615,0.16324716542387147,0.0593,0.0591,0.0589,0.059,0.1613,0.059,0.1004,0.0592,0.0592,0.1613,0.0,298,131,96,77,394,114,185,160,138,698,0,10302.530990600586,19325.942253112793
2017-01-13,100207.59198379517,6429.22399520874,0.06415905090552847,0.0606,0.0606,0.0602,0.0599,0.1646,0.0603,0.1644,0.0801,0.1645,0.0606,0.0,303,134,98,78,402,117,302,217,384,263,0,19968.168279647827,10047.653875350952
2017-01-17,100225.41437721252,14109.356168746948,0.14077623182124635,0.1391,0.086,0.0629,0.0508,0.1387,0.0508,0.0896,0.0511,0.0512,0.1389,0.0,713,191,103,66,334,98,166,137,120,598,0,18695.61882209778,26375.750995635986
