date,portfolio_value,cash,w_c,w_XLF,w_XLK,w_XLV,w_XLY,w_XLP,w_XLE,w_XLI,w_XLU,w_XLB,w_XLRE,w_XLC,s_XLF,s_XLK,s_XLV,s_XLY,s_XLP,s_XLE,s_XLI,s_XLU,s_XLB,s_XLRE,s_XLC,purchases,sales
2013-01-02,100000.0,12530.725766181946,0.12530725766181947,0.0619,0.0617,0.0617,0.0616,0.0618,0.168,0.1682,0.0618,0.168,0.0,0.0,569,244,186,147,240,364,545,263,563,0,0,87469.27423381805,0.0
2013-01-03,99842.46127510071,14240.61723613739,0.14263087121720222,0.0708,0.0707,0.1401,0.0828,0.0708,0.0707,0.0739,0.1178,0.1597,0.0,0.0,651,281,421,197,275,153,239,501,538,0,0,18216.876697540283,19926.768167495728
2013-01-04,100399.25165462494,12528.934372901917,0.12479111314496302,0.0618,0.0618,0.0618,0.0617,0.0619,0.1682,0.0617,0.1681,0.1682,0.0,0.0,565,248,186,147,241,362,199,715,563,0,0,15553.227020263672,13841.544157028198
2013-01-07,99981.54195404053,15096.93487739563,0.15099721991020484,0.0686,0.1157,0.0851,0.0685,0.0686,0.0685,0.0889,0.1865,0.0985,0.0,0.0,626,463,254,163,268,148,287,798,329,0,0,14344.619242668152,16912.619747161865
2013-01-08,99747.65873527527,14202.898045539856,0.14238828485421956,0.0705,0.1587,0.0705,0.0702,0.1431,0.0703,0.0903,0.0705,0.1136,0.0,0.0,643,636,210,167,559,152,293,302,378,0,0,13924.509152412415,13030.47232055664
2013-01-09,100025.85538768768,13744.832041740417,0.13741279180734992,0.068,0.0678,0.0677,0.068,0.0859,0.1847,0.068,0.0679,0.1846,0.0,0.0,623,272,200,162,336,401,219,292,612,0,0,18532.716178894043,18074.650175094604
2013-01-10,100592.17347049713,17409.967436790466,0.1730747714870349,0.0692,0.0692,0.0691,0.0688,0.0691,0.1294,0.0692,0.1277,0.1552,0.0,0.0,630,278,204,164,270,280,223,550,515,0,0,6598.35969543457,10263.49509048462
2013-01-11,100602.12373828888,16851.7711725235,0.167509099672314,0.0566,0.1539,0.0881,0.0571,0.0871,0.0564,0.0637,0.1538,0.1158,0.0,0.0,516,617,260,136,339,122,206,662,385,0,0,14815.09415435791,14256.897890090942
2013-01-14,100533.27844715118,14023.207503318787,0.1394882144492142,0.0697,0.0692,0.0689,0.0691,0.0691,0.188,0.0692,0.0692,0.1882,0.0,0.0,637,279,203,164,268,406,223,298,625,0,0,23532.172452926636,20703.608783721924
2013-01-15,100724.35848331451,12593.971713066101,0.12503402258106566,0.0617,0.0617,0.0616,0.0771,0.0617,0.1133,0.1044,0.1656,0.1678,0.0,0.0,563,251,182,182,239,244,336,713,558,0,0,14014.819095611572,12585.583305358887
2013-01-16,100516.89449119568,23373.14221382141,0.23252949001392673,0.0593,0.0593,0.0592,0.0593,0.0592,0.1612,0.0893,0.0593,0.1613,0.0,0.0,540,240,175,140,229,345,288,256,539,0,0,4744.036777496338,15523.207278251648
2013-01-17,101041.01532554626,12027.528785705566,0.11903610377383686,0.0589,0.0862,0.0587,0.0792,0.0587,0.16,0.1602,0.0588,0.1602,0.0,0.0,539,349,173,186,227,342,514,254,534,0,0,11817.687271118164,472.07384300231934
2013-01-18,101535.5493774414,16996.26867866516,0.16739229543619621,0.0643,0.0643,0.0641,0.0641,0.0641,0.1749,0.1298,0.0643,0.1428,0.0,0.0,591,262,189,151,248,372,415,277,475,0,0,3650.8388633728027,8619.578756332397
2013-01-22,102068.57982063293,32075.8325214386,0.3142576547827556,0.0589,0.0587,0.0588,0.0588,0.0831,0.0897,0.0587,0.0589,0.16,0.0,0.0,539,240,174,139,323,190,188,253,530,0,0,3664.124641418457,18743.688484191895
2013-01-23,101988.33725738525,26214.394037246704,0.257033252450132,0.0568,0.0569,0.0568,0.0568,0.0821,0.1545,0.0569,0.0674,0.1547,0.0,0.0,520,230,168,134,319,328,182,290,515,0,0,7504.692453384399,1643.2539691925049
2013-01-24,102182.01538276672,17340.117347717285,0.16969832981628333,0.0678,0.0678,0.0676,0.0678,0.0678,0.1065,0.0838,0.1843,0.117,0.0,0.0,618,279,199,159,263,226,267,791,389,0,0,19133.68180656433,10259.405117034912
2013-01-25,102648.28247070312,15960.082361221313,0.15548318955825183,0.1062,0.0709,0.1932,0.0725,0.1085,0.0711,0.0803,0.0711,0.0709,0.0,0.0,968,293,567,169,421,150,256,305,236,0,0,21776.633129119873,20396.5981426239
2013-01-28,102454.25257110596,27754.32588481903,0.2708948158648348,0.0647,0.0735,0.1051,0.0646,0.1375,0.082,0.0644,0.0647,0.0727,0.0,0.0,591,302,309,151,532,173,205,277,244,0,0,4524.052486419678,16318.296010017395
2013-01-29,102895.29895687103,30256.959887504578,0.29405580424220257,0.0549,0.0548,0.0548,0.0547,0.1006,0.1174,0.1302,0.0728,0.0657,0.0,0.0,502,226,160,129,389,245,415,311,220,0,0,11148.228660583496,13650.862663269043
2013-01-30,102591.65961360931,22615.226008415222,0.22043922569915417,0.0632,0.0633,0.0633,0.0633,0.1013,0.0631,0.0633,0.1722,0.1265,0.0,0.0,579,261,185,149,391,132,203,733,425,0,0,19967.81911468506,12326.085235595703
2013-01-31,102416.46627902985,13415.173153877258,0.13098648724442533,0.0646,0.13,0.0646,0.0643,0.0645,0.1757,0.0647,0.0646,0.1758,0.0,0.0,591,534,189,152,249,368,208,274,595,0,0,24056.828018188477,14856.775163650513
2013-02-01,103269.46688461304,22556.659993171692,0.21842525843940996,0.0654,0.1621,0.0957,0.0654,0.0917,0.065,0.0654,0.1056,0.0653,0.0,0.0,595,664,280,155,354,136,210,450,220,0,0,13801.31544303894,22942.802282333374
2013-02-04,102430.04874801636,23115.496515274048,0.22567104866013937,0.0903,0.0651,0.0651,0.0652,0.075,0.0649,0.0651,0.1773,0.1064,0.0,0.0,824,268,191,155,290,136,209,755,359,0,0,14125.31443119049,14684.150953292847
2013-02-05,103058.3717918396,15156.392490386963,0.14706609688148675,0.1231,0.1419,0.0603,0.0604,0.0679,0.0603,0.15,0.1288,0.0604,0.0,0.0,1120,581,176,143,261,126,480,550,204,0,0,19954.75355911255,11995.649534225464
2013-02-06,103150.74248123169,17002.774713516235,0.16483424456794285,0.0572,0.0571,0.0571,0.0571,0.0833,0.1555,0.0571,0.1551,0.1557,0.0,0.0,520,234,167,135,320,325,183,661,526,0,0,23922.58290863037,25768.965131759644
2013-02-07,103033.16610908508,11385.01130104065,0.11049850966422706,0.0545,0.137,0.0542,0.1242,0.1221,0.0545,0.1405,0.0543,0.1483,0.0,0.0,496,561,159,294,466,114,450,231,503,0,0,27675.596376419067,22057.83296394348
2013-02-08,103499.83243560791,16440.76009941101,0.1588481808377765,0.0678,0.0679,0.1184,0.0678,0.1816,0.0677,0.0677,0.0679,0.1343,0.0,0.0,619,277,346,160,697,141,217,290,455,0,0,17018.746589660645,22074.495388031006
2013-02-11,103456.54026412964,18020.31871986389,0.17418249898804977,0.0765,0.1167,0.0847,0.0904,0.0902,0.0798,0.0764,0.1089,0.102,0.0,0.0,695,475,248,214,346,167,245,464,346,0,0,14676.38060760498,16255.939228057861
2013-02-12,103607.55693340302,35732.79838371277,0.3448860241601984,0.0631,0.0761,0.063,0.0631,0.0908,0.0627,0.0923,0.0772,0.0669,0.0,0.0,569,311,185,149,349,131,295,328,227,0,0,1701.468355178833,19413.94801902771
2013-02-13,103709.38960838318,12145.476345062256,0.1171106723405158,0.1574,0.1573,0.102,0.0577,0.0577,0.0619,0.0735,0.0579,0.1574,0.0,0.0,1425,644,300,136,222,129,234,246,533,0,0,31672.656101226807,8085.334062576294
2013-02-14,103722.13016033173,14020.46162700653,0.13517329045724344,0.0669,0.0947,0.0668,0.0713,0.067,0.1819,0.067,0.067,0.1822,0.0,0.0,604,389,196,168,257,376,213,287,619,0,0,18367.106943130493,20242.092225074768
2013-02-15,103515.74665355682,20679.36381816864,0.19977022324321025,0.0574,0.0573,0.0572,0.0575,0.0573,0.1557,0.0574,0.156,0.1445,0.0,0.0,519,235,167,135,219,325,182,666,490,0,0,9191.185899734497,15850.088090896606
2013-02-19,104037.89735126495,14605.565398216248,0.1403869721521113,0.0819,0.1615,0.1066,0.082,0.072,0.0695,0.1135,0.102,0.0707,0.0,0.0,737,661,311,193,274,144,359,434,242,0,0,28369.10960006714,22295.311180114746
2013-02-20,102932.99357414246,12883.680645942688,0.12516570439256286,0.0618,0.168,0.0936,0.0618,0.119,0.0616,0.0795,0.0617,0.1679,0.0,0.0,559,690,272,146,449,129,252,260,585,0,0,15634.174156188965,13912.289403915405
2013-02-21,102393.05073451996,28728.755387306213,0.28057329263284503,0.0632,0.0906,0.063,0.0949,0.1005,0.0629,0.0683,0.0632,0.1129,0.0,0.0,573,373,183,225,376,132,217,266,395,0,0,3861.583755493164,19706.65849685669
2013-02-22,103071.54868984222,28359.654324531555,0.2751453207506372,0.061,0.063,0.1137,0.0607,0.0609,0.0813,0.0608,0.1155,0.1079,0.0,0.0,550,258,331,144,228,170,193,485,375,0,0,12491.59912109375,12122.498058319092
2013-02-25,101787.54051303864,12587.690337181091,0.12366631783944766,0.061,0.0744,0.0609,0.0609,0.0608,0.1656,0.0609,0.1659,0.1659,0.0,0.0,558,305,177,145,228,351,195,694,583,0,0,21164.609922409058,5392.645935058594
2013-02-26,102390.9381532669,11172.996166229248,0.1091209473000884,0.072,0.1131,0.0538,0.0734,0.0537,0.1463,0.1466,0.0856,0.1464,0.0,0.0,659,464,157,174,202,309,469,359,512,0,0,15117.428072929382,13702.733901977539
2013-02-27,103677.99977016449,24501.451625823975,0.23632257258183312,0.0628,0.0626,0.0688,0.0626,0.118,0.0931,0.0906,0.0627,0.1426,0.0,0.0,573,258,201,148,446,196,288,264,496,0,0,8253.814247131348,21582.269706726074
2013-02-28,103695.70523643494,12667.7852268219,0.12216306546098783,0.0602,0.0637,0.0602,0.0824,0.0603,0.1634,0.1637,0.0601,0.1638,0.0,0.0,551,263,176,194,228,345,521,252,569,0,0,19242.124559402466,7408.458160400391
2013-03-01,103826.77714729309,13928.139265060425,0.13414785325852283,0.0665,0.0664,0.0664,0.0663,0.0697,0.163,0.1206,0.0663,0.1807,0.0,0.0,607,274,193,156,263,344,385,278,628,0,0,4889.776836395264,6150.130874633789
2013-03-04,104092.40032958984,27504.6127243042,0.2642326686407057,0.0573,0.0613,0.1494,0.0715,0.0692,0.0571,0.0571,0.1557,0.0572,0.0,0.0,520,253,433,167,260,121,183,648,199,0,0,18367.82653427124,31944.299993515015
2013-03-05,104712.69218444824,30064.319980621338,0.2871124727426924,0.0627,0.0652,0.1048,0.0627,0.077,0.0627,0.1327,0.0627,0.0822,0.0,0.0,568,267,303,146,290,133,422,261,286,0,0,12828.143999099731,15387.85125541687
2013-03-06,104830.06065559387,14421.123586654663,0.13756668169861574,0.0847,0.0681,0.0679,0.0678,0.068,0.1849,0.0678,0.0681,0.1852,0.0,0.0,763,279,196,158,257,392,216,284,639,0,0,27225.39574432373,11582.199350357056
2013-03-07,105044.9760093689,14503.497806549072,0.1380694094809019,0.0684,0.0683,0.0684,0.0682,0.0684,0.186,0.0699,0.1861,0.0783,0.0,0.0,613,280,198,159,259,393,223,781,270,0,0,12915.895389556885,12998.269609451294
2013-03-08,105452.44219303131,20971.95494556427,0.19887595307821307,0.058,0.058,0.0596,0.0578,0.0722,0.1577,0.058,0.1222,0.1575,0.0,0.0,520,238,173,134,274,333,184,514,541,0,0,8738.975786209106,15207.432925224304
2013-03-11,105720.70268917084,15524.711411476135,0.14684646447271826,0.0727,0.0725,0.0726,0.0725,0.0726,0.1976,0.0726,0.116,0.104,0.0,0.0,649,298,210,168,276,418,230,488,356,0,0,11813.4700756073,6366.226541519165
2013-03-12,105611.57246780396,16377.17594051361,0.15506989961262294,0.0887,0.0724,0.1282,0.0724,0.1134,0.0734,0.1191,0.094,0.0834,0.0,0.0,795,298,369,168,431,155,379,396,285,0,0,16806.28289413452,17658.747423171997
