date,portfolio_value,cash,w_c,w_XLF,w_XLK,w_XLV,w_XLY,w_XLP,w_XLE,w_XLI,w_XLU,w_XLB,w_XLRE,w_XLC,s_XLF,s_XLK,s_XLV,s_XLY,s_XLP,s_XLE,s_XLI,s_XLU,s_XLB,s_XLRE,s_XLC,purchases,sales
2016-01-04,100000.0,9267.96000289917,0.0926796000289917,0.1234,0.0769,0.0453,0.1232,0.0453,0.1234,0.1231,0.1233,0.1233,0.0,0.0,778,203,75,178,117,302,279,387,349,0,0,90732.03999710083,0.0
2016-01-05,100225.08295059204,27984.012073516846,0.2792116628859477,0.051,0.0509,0.0509,0.1387,0.1385,0.0507,0.0508,0.1386,0.0508,0.0,0.0,321,135,84,201,356,124,115,433,144,0,0,12930.231857299805,31646.28392791748
2016-01-06,99425.92680835724,30370.404253959656,0.30545759269107337,0.0558,0.0559,0.0557,0.0558,0.152,0.0559,0.0556,0.152,0.0557,0.0,0.0,354,149,92,81,389,141,127,472,161,0,0,5830.47305393219,8216.865234375
2016-01-07,98160.78663730621,11136.752947807312,0.11345419417793016,0.104,0.0557,0.0559,0.1032,0.0559,0.1521,0.152,0.0557,0.152,0.0,0.0,670,151,93,151,143,388,352,172,446,0,0,38219.05567932129,18985.404373168945
2016-01-08,97227.44600200653,12120.44098186493,0.12466069489899789,0.1674,0.0768,0.0615,0.1003,0.0615,0.0738,0.1674,0.0687,0.0978,0.0,0.0,1085,208,103,147,157,189,388,210,287,0,0,12106.63459777832,13090.322631835938
2016-01-11,97090.09152698517,28492.643006324768,0.29346602272391037,0.0535,0.0559,0.0532,0.053,0.0748,0.0532,0.1435,0.1455,0.0738,0.0,0.0,346,150,90,77,189,139,332,442,220,0,0,8645.399688720703,25017.601713180542
2016-01-12,97437.01500797272,9944.098052024841,0.10205667785708719,0.1356,0.0905,0.0495,0.1166,0.1353,0.0497,0.1355,0.0497,0.1356,0.0,0.0,873,241,83,168,341,130,312,152,405,0,0,29369.513174057007,10820.96821975708
2016-01-13,95346.47939968109,13036.623427391052,0.13672894384220605,0.0676,0.0676,0.0675,0.0671,0.1206,0.1056,0.1161,0.0674,0.1838,0.0,0.0,437,181,114,98,303,277,268,202,550,0,0,13304.614990234375,16397.140365600586
2016-01-14,96694.95956611633,29738.352595329285,0.30754811552504274,0.0561,0.0563,0.0557,0.0959,0.0816,0.153,0.0562,0.0782,0.0594,0.0,0.0,365,150,93,141,207,390,130,234,178,0,0,8148.562194824219,24850.29136276245
2016-01-15,95321.7718334198,27562.509978294373,0.2891523043283482,0.0529,0.0529,0.0755,0.0892,0.1394,0.0529,0.0736,0.1216,0.0528,0.0,0.0,347,143,126,132,354,137,171,362,159,0,0,13182.918308258057,11007.075691223145
2016-01-19,95516.81533527374,11716.234845161438,0.12266148954020568,0.0843,0.0598,0.0598,0.1632,0.1221,0.1366,0.1315,0.0599,0.0602,0.0,0.0,554,162,100,241,307,362,306,176,184,0,0,25159.849920272827,9313.574787139893
2016-01-20,94362.95691776276,9836.010548591614,0.10423592975327903,0.1392,0.0683,0.0509,0.1393,0.0509,0.139,0.1176,0.0512,0.1393,0.0,0.0,922,184,84,205,128,374,274,152,424,0,0,13876.981216430664,11996.75691986084
2016-01-21,95083.37820911407,10556.562647819519,0.1110242699265773,0.1477,0.0541,0.054,0.0587,0.0543,0.1054,0.1476,0.1195,0.1477,0.0,0.0,990,146,90,86,137,277,345,358,449,0,0,11853.751558303833,12574.303657531738
2016-01-22,96769.85588932037,14684.230647087097,0.15174385155519968,0.0746,0.0744,0.0743,0.0744,0.0827,0.0745,0.2027,0.1158,0.0747,0.0,0.0,500,199,124,109,209,191,478,347,227,0,0,13624.016399383545,17751.684398651123
2016-01-25,95415.32896709442,11025.782286643982,0.11555567020521837,0.0599,0.0566,0.0656,0.1246,0.0569,0.1547,0.1546,0.0567,0.1548,0.0,0.0,404,151,109,182,143,410,364,169,479,0,0,20422.314624786377,16763.86626434326
2016-01-26,96964.26200008392,29001.980452537537,0.299099687393201,0.0546,0.0547,0.1486,0.0547,0.1486,0.0547,0.0758,0.0545,0.0546,0.0,0.0,368,147,249,80,376,142,178,164,169,0,0,17025.398845672607,35001.59701156616
2016-01-27,96436.20726490021,11145.604767799377,0.11557489747791058,0.1517,0.0557,0.0557,0.0555,0.0556,0.0555,0.1516,0.1515,0.1516,0.0,0.0,1020,152,94,82,140,144,358,452,470,0,0,35753.348428726196,17896.972743988037
