date,portfolio_value,cash,w_c,w_XLF,w_XLK,w_XLV,w_XLY,w_XLP,w_XLE,w_XLI,w_XLU,w_XLB,w_XLRE,w_XLC,s_XLF,s_XLK,s_XLV,s_XLY,s_XLP,s_XLE,s_XLI,s_XLU,s_XLB,s_XLRE,s_XLC,purchases,sales
2015-01-02,100000.0,12666.872730255127,0.12666872730255127,0.0743,0.0617,0.1682,0.077,0.0619,0.0617,0.1686,0.0968,0.1032,0.0,0.0,451,170,291,121,169,118,361,287,262,0,0,87333.12726974487,0.0
2015-01-05,98442.64011001587,11826.373081207275,0.12013465981804791,0.0703,0.0588,0.059,0.0799,0.0716,0.1605,0.1603,0.0589,0.1606,0.0,0.0,429,162,101,126,194,315,346,174,412,0,0,16855.89529800415,16015.395648956299
2015-01-06,97597.5386838913,24749.70645904541,0.2535894531029849,0.0464,0.1028,0.0804,0.0462,0.1261,0.0461,0.126,0.126,0.0464,0.0,0.0,285,284,137,73,339,91,273,369,119,0,0,18138.095275878906,31061.42865371704
2015-01-07,98470.14426803589,29550.612239837646,0.3000971762507104,0.0547,0.0546,0.0733,0.0548,0.1489,0.0548,0.0548,0.0547,0.1492,0.0,0.0,336,151,123,86,397,109,119,160,382,0,0,14782.982357025146,19583.888137817383
2015-01-08,99711.89248275757,26648.171703338623,0.26725168924004417,0.0487,0.092,0.0903,0.0907,0.1323,0.0487,0.0487,0.1326,0.0486,0.0,0.0,298,252,151,142,352,96,105,390,123,0,0,16713.007133483887,13810.566596984863
2015-01-09,99127.50439453125,31526.98141860962,0.3180447405710027,0.0582,0.0579,0.1581,0.0578,0.0735,0.0578,0.1026,0.0581,0.0581,0.0,0.0,359,158,265,91,196,114,222,171,147,0,0,14922.585048675537,19801.394763946533
2015-01-12,98705.52811527252,10516.129777908325,0.10654043373971052,0.1422,0.0763,0.142,0.1206,0.0522,0.0519,0.1419,0.1141,0.0523,0.0,0.0,881,210,237,190,139,105,308,335,132,0,0,25805.381658554077,4794.530017852783
2015-01-13,98494.64709949493,17041.71542739868,0.17302174208699783,0.1127,0.0688,0.1256,0.0801,0.0689,0.1199,0.1129,0.0691,0.0691,0.0,0.0,699,189,210,126,183,244,245,202,176,0,0,10057.546287536621,16583.131937026978
2015-01-14,98118.02675533295,15035.484126091003,0.1532387536042024,0.0759,0.1054,0.0755,0.0757,0.0757,0.2063,0.0805,0.0759,0.0759,0.0,0.0,476,290,126,120,201,417,175,219,195,0,0,13966.67398071289,11960.442679405212
2015-01-15,97479.57176113129,22792.46214199066,0.23381783208734674,0.0701,0.07,0.0698,0.1272,0.0699,0.1303,0.0889,0.0699,0.07,0.0,0.0,442,194,117,203,184,265,193,199,179,0,0,5878.959796905518,13635.937812805176
