date,portfolio_value,cash,w_c,w_XLF,w_XLK,w_XLV,w_XLY,w_XLP,w_XLE,w_XLI,w_XLU,w_XLB,w_XLRE,w_XLC,s_XLF,s_XLK,s_XLV,s_XLY,s_XLP,s_XLE,s_XLI,s_XLU,s_XLB,s_XLRE,s_XLC,purchases,sales
2018-01-31,102944.42014503479,5773.5440883636475,0.05608408964982758,0.1471,0.0887,0.0611,0.1372,0.147,0.0538,0.1471,0.0539,0.0541,0.0539,0.0,588,144,81,141,320,103,216,138,103,221,0,16085.944522857666,8166.7717933654785
2018-02-01,102640.27433204651,15954.092878341675,0.15543696645557836,0.1519,0.0557,0.0552,0.055,0.1519,0.0555,0.0559,0.0559,0.0556,0.1519,0.0,600,90,73,57,331,105,82,145,107,632,0,11568.15779876709,21748.706588745117
2018-02-02,100975.10757637024,15576.411283493042,0.15425991273851505,0.1518,0.0555,0.0553,0.0554,0.1514,0.0577,0.0557,0.0557,0.0556,0.1517,0.0,603,91,73,57,331,112,82,143,108,628,0,553.8506317138672,176.16903686523438
2018-02-05,97774.86833572388,14999.325925827026,0.15340676168772444,0.1503,0.0549,0.0546,0.1503,0.0551,0.055,0.0549,0.066,0.0552,0.1502,0.0,609,91,73,155,121,108,82,167,108,618,0,10362.39805984497,9785.312702178955
2018-02-06,98884.56928253174,12898.182836532593,0.13043676005383678,0.1275,0.0878,0.0464,0.1268,0.0842,0.066,0.0465,0.1098,0.047,0.1276,0.0,513,143,62,129,185,130,69,285,90,532,0,11636.632446289062,9535.489356994629
2018-02-07,98450.00771331787,13992.214584350586,0.14212507352051515,0.0517,0.0518,0.0518,0.1408,0.1406,0.1259,0.0516,0.0516,0.0514,0.1407,0.0,207,85,69,143,309,251,76,134,99,587,0,15631.715673446655,16725.74742126465
2018-02-08,95748.0256729126,12681.230197906494,0.1324437773915797,0.0886,0.1164,0.0469,0.1293,0.0476,0.1125,0.1019,0.0474,0.0474,0.1294,0.0,361,194,63,133,104,225,152,121,92,542,0,14764.37289428711,13453.388507843018
2018-02-09,96902.5175037384,13552.192779541016,0.13985387716080944,0.0502,0.0498,0.05,0.1363,0.1365,0.1358,0.0502,0.0644,0.0502,0.1367,0.0,203,82,67,141,301,275,75,163,97,566,0,14506.416488647461,15377.379070281982
2018-02-12,97892.73604393005,15566.906551361084,0.15902003744563156,0.0573,0.0728,0.0567,0.1552,0.1134,0.0581,0.0573,0.0571,0.057,0.156,0.0,231,119,76,160,250,117,85,145,109,651,0,8627.265399932861,10641.97917175293
2018-02-13,98179.97632026672,5722.2430629730225,0.058283198646400705,0.1037,0.0918,0.0543,0.1487,0.055,0.1495,0.1495,0.0548,0.0796,0.0549,0.0,417,150,73,153,121,303,222,139,153,228,0,26714.178192138672,16869.51470375061
