date,portfolio_value,cash,w_c,w_Canada,w_France,w_Germany,w_Italy,w_Japan,w_Switzerland,w_UK,w_US,s_Canada,s_France,s_Germany,s_Italy,s_Japan,s_Switzerland,s_UK,s_US,purchases,sales
2013-01-02,100000.0,117.31359672546387,0.0011731359672546386,0.0706,0.1396,0.1924,0.0706,0.1924,0.1924,0.0706,0.0704,320,752,1043,216,931,1142,321,60,99882.68640327454,0.0
2013-01-03,98826.73893928528,137.14988327026367,0.0013877811282887965,0.094,0.2183,0.16,0.094,0.1296,0.0942,0.115,0.0935,425,1181,868,287,627,561,521,79,19016.721267700195,19036.557554244995
2013-01-04,99499.81420516968,114.42098236083984,0.0011499617690230311,0.0968,0.0968,0.0968,0.1422,0.0967,0.0968,0.1093,0.2634,438,524,522,439,466,577,495,223,22376.983959197998,22354.255058288574
2013-01-07,99118.61644935608,171.6896209716797,0.0017321632113317807,0.0812,0.1298,0.1072,0.1624,0.0813,0.0812,0.1944,0.1608,367,702,581,504,390,483,879,136,14832.779026031494,14890.047664642334
2013-01-08,98684.41084289551,89.45181274414062,0.0009064431958412045,0.0853,0.0853,0.0855,0.0853,0.2322,0.0855,0.1079,0.2321,384,463,460,267,1110,507,488,196,22649.00712966919,22566.76932144165
2013-01-09,99210.67921829224,175.53544998168945,0.0017693201111491296,0.2015,0.0842,0.0841,0.084,0.0842,0.084,0.1483,0.2279,909,459,448,261,401,503,673,193,15586.673374176025,15672.757011413574
2013-01-10,100398.05011749268,143.36520195007324,0.0014279679912338682,0.0828,0.2256,0.1038,0.1758,0.0828,0.083,0.1623,0.0823,375,1225,543,548,394,496,738,70,26666.799907684326,26634.62965965271
2013-01-11,100766.51866149902,63.385271072387695,0.0006290310701842874,0.0866,0.0865,0.0906,0.0866,0.1454,0.0866,0.1816,0.2356,393,468,473,270,691,516,829,201,24512.30478477478,24432.324853897095
2013-01-14,100725.04408454895,174.7661190032959,0.0017350810872477417,0.1049,0.098,0.199,0.1032,0.0966,0.1198,0.0964,0.1804,475,527,1046,320,461,710,441,154,18829.112957000732,18940.49380493164
2013-01-15,100651.53429985046,177.86053848266602,0.0017670921732082356,0.128,0.1859,0.1132,0.0985,0.0985,0.1177,0.159,0.0974,578,1011,592,306,470,701,726,83,17727.820720672607,17730.915140151978
2013-01-16,100058.19192504883,90.30448913574219,0.0009025196977713439,0.149,0.0921,0.0922,0.1228,0.2241,0.0922,0.0921,0.1345,672,500,486,384,1063,549,421,114,20750.79726791382,20663.241218566895
2013-01-17,101050.53797531128,174.2321071624756,0.0017242076158470732,0.0869,0.2074,0.0869,0.0868,0.087,0.0869,0.1389,0.2176,394,1121,454,273,411,514,639,185,24834.430778503418,24918.35839653015
2013-01-18,100974.04535484314,111.20183944702148,0.0011012913175483443,0.1782,0.0997,0.0997,0.1061,0.0998,0.0997,0.1965,0.1191,807,541,521,332,474,589,905,101,20862.55304145813,20799.522773742676
2013-01-22,101138.27541351318,64.70925521850586,0.0006398097550500648,0.2088,0.0853,0.0853,0.0853,0.232,0.0853,0.1178,0.0995,941,464,443,270,1107,505,542,84,16427.09488105774,16380.602296829224
2013-01-23,101054.96731567383,132.3215618133545,0.00130940185651647,0.0951,0.0949,0.095,0.1709,0.1047,0.095,0.0951,0.248,432,516,497,545,494,564,436,209,26718.456535339355,26786.068841934204
2013-01-24,101505.48888969421,191.11243629455566,0.001882779329325108,0.1318,0.1033,0.099,0.2522,0.099,0.099,0.1157,0.0981,602,560,518,799,466,587,532,83,15660.752674102783,15719.543548583984
2013-01-25,102445.41882324219,84.81731224060059,0.000827926843531609,0.099,0.1171,0.1772,0.1096,0.1413,0.0988,0.1395,0.1166,458,626,923,348,668,580,641,99,17970.505670547485,17864.21054649353
2013-01-28,102164.89471626282,106.78076362609863,0.0010451805771704188,0.1093,0.0982,0.0983,0.0983,0.1887,0.0983,0.1416,0.1663,504,526,509,316,889,576,653,141,11138.387912750244,11160.351364135742
2013-01-29,102552.1077632904,151.31471252441406,0.0014754910047648844,0.176,0.0843,0.0843,0.1674,0.0844,0.0843,0.2059,0.1121,810,451,445,533,398,494,944,95,20313.013671875,20357.547620773315
2013-01-30,102455.34400939941,167.0768642425537,0.0016307286443470027,0.0971,0.0972,0.175,0.1013,0.2146,0.0971,0.1126,0.1035,448,520,936,319,1010,571,516,88,25392.53014945984,25408.29230117798
2013-01-31,102274.42374420166,177.47523880004883,0.0017352846616269554,0.2344,0.0868,0.087,0.0867,0.191,0.0868,0.0868,0.1387,1087,465,464,272,897,514,398,118,17699.941246032715,17710.33962059021
2013-02-01,103150.18428611755,160.62256622314453,0.001557171878409934,0.2141,0.0928,0.093,0.1487,0.0928,0.0995,0.0928,0.1648,994,494,497,472,435,581,429,140,12245.291776657104,12228.4391040802
2013-02-04,101281.36414337158,135.9104824066162,0.0013419100695980402,0.1049,0.1678,0.1452,0.105,0.1253,0.1049,0.1413,0.1043,481,910,809,327,584,628,649,88,22319.993223190308,22295.28113937378
2013-02-05,101975.73985671997,167.9532127380371,0.0016469918529055847,0.1095,0.093,0.093,0.1279,0.1166,0.0929,0.1133,0.2521,503,504,514,402,544,552,525,212,17960.43352508545,17992.47625541687
2013-02-06,102010.73555374146,114.83072662353516,0.0011256729598135271,0.1255,0.2267,0.0955,0.2177,0.0834,0.0833,0.0834,0.0833,575,1243,530,676,388,502,385,70,24649.61614227295,24596.493656158447
2013-02-07,101235.4443321228,178.72991180419922,0.0017654875027548708,0.1069,0.1549,0.1464,0.1071,0.1071,0.1071,0.107,0.1616,489,849,826,329,504,652,493,135,20553.721923828125,20617.62110900879
