date,portfolio_value,cash,w_c,w_Canada,w_France,w_Germany,w_Italy,w_Japan,w_Switzerland,w_UK,w_US,s_Canada,s_France,s_Germany,s_Italy,s_Japan,s_Switzerland,s_UK,s_US,purchases,sales
2018-01-02,100000.0,276.4011058807373,0.002764011058807373,0.2196,0.2197,0.0807,0.0808,0.0949,0.1422,0.0806,0.0787,864,804,343,153,312,563,299,33,99723.59889411926,0.0
2018-01-03,100463.8768081665,207.30245399475098,0.0020634526616028397,0.0858,0.1714,0.1565,0.0821,0.1907,0.1147,0.082,0.1147,338,627,668,154,627,454,306,48,21117.568643569946,21048.46999168396
2018-01-04,101746.41660308838,109.43197250366211,0.0010755363791390806,0.1121,0.0845,0.1292,0.1353,0.2073,0.1275,0.0845,0.1185,444,308,543,254,686,503,318,50,12028.514892578125,11930.644411087036
2018-01-05,102387.11054992676,351.13237380981445,0.0034294587660874823,0.0942,0.1239,0.1476,0.1274,0.194,0.1286,0.0859,0.0948,374,450,618,240,643,506,324,40,6079.793811798096,6321.494213104248
2018-01-08,102295.90388298035,265.37582778930664,0.0025941979856092656,0.149,0.0943,0.1718,0.0962,0.1471,0.1521,0.0941,0.0927,593,343,720,180,488,600,355,39,11398.257892608643,11312.501346588135
2018-01-09,102457.89702415466,220.88401222229004,0.0021558515120627176,0.1116,0.099,0.1884,0.1394,0.1436,0.1298,0.0933,0.0928,446,361,787,261,477,510,352,39,6580.5619258880615,6536.070110321045
2018-01-10,102273.23148918152,177.64653778076172,0.0017369798058991927,0.0762,0.1972,0.2075,0.0759,0.0907,0.1983,0.0764,0.0761,307,724,861,141,302,782,288,32,18991.360137939453,18948.122663497925
2018-01-11,103043.55527496338,278.5140800476074,0.0027028772377313184,0.0993,0.1049,0.1626,0.1829,0.1381,0.1128,0.0993,0.0975,401,386,670,340,462,445,375,41,22936.106811523438,23036.974353790283
2018-01-12,104049.4582271576,331.91332054138184,0.003189957220313044,0.1156,0.1259,0.1599,0.0786,0.2089,0.118,0.0785,0.1114,470,462,655,147,699,464,295,47,13273.420238494873,13326.819478988647
2018-01-16,104145.6398639679,286.86071968078613,0.0027544189085157624,0.0822,0.1139,0.2171,0.1692,0.109,0.1435,0.082,0.0803,333,418,888,317,365,563,309,34,18399.78772354126,18354.735122680664
2018-01-17,104688.9710521698,313.79920196533203,0.0029974427947042867,0.0844,0.2031,0.1583,0.1178,0.0845,0.1816,0.0844,0.083,343,747,646,220,284,714,318,35,14140.444746017456,14167.383228302002
2018-01-18,104703.62003707886,311.83935546875,0.0029783053857958095,0.0896,0.1173,0.2434,0.1449,0.0921,0.1328,0.0894,0.0876,365,429,991,273,309,523,337,37,14184.655261993408,14182.695415496826
2018-01-19,105244.91367912292,334.33179664611816,0.0031767026543957195,0.0823,0.2239,0.1898,0.0834,0.0863,0.1685,0.0822,0.0804,338,814,772,157,290,663,311,34,14889.171886444092,14911.66432762146
2018-01-22,105913.29905319214,262.3193836212158,0.0024767369722802504,0.0889,0.1727,0.1367,0.1532,0.1062,0.1631,0.089,0.0877,366,628,554,289,359,642,336,37,11750.376461029053,11678.36404800415
2018-01-23,106208.06591796875,265.30412101745605,0.002497965843972409,0.0951,0.1748,0.2362,0.0867,0.1046,0.128,0.0868,0.0852,392,634,961,163,353,505,328,36,11470.03313446045,11473.01787185669
2018-01-24,106282.84515953064,196.48599433898926,0.0018487084537872843,0.1029,0.1407,0.1836,0.1021,0.1317,0.1615,0.0881,0.0875,423,512,749,192,441,637,332,37,9154.916271209717,9086.09814453125
