date,portfolio_value,cash,w_c,w_Canada,w_France,w_Germany,w_Italy,w_Japan,w_Switzerland,w_UK,w_US,s_Canada,s_France,s_Germany,s_Italy,s_Japan,s_Switzerland,s_UK,s_US,purchases,sales
2012-01-24,102096.504155159,64.23664379119873,0.0006291757423307703,0.0896,0.0896,0.1236,0.0897,0.2438,0.0896,0.1349,0.1386,439,602,751,304,1429,641,709,137,20941.30149269104,20848.342706680298
2012-01-25,103093.9310798645,124.09432792663574,0.0012037015819146785,0.1283,0.0869,0.087,0.1746,0.0869,0.0869,0.1352,0.2131,624,582,525,590,513,620,712,211,20409.04632949829,20468.904013633728
2012-01-26,103022.2126121521,182.78037071228027,0.0017741840917394568,0.1518,0.1233,0.0822,0.0821,0.2237,0.0822,0.1714,0.0815,742,819,495,278,1322,585,898,81,23924.8091173172,23983.495160102844
2012-01-27,103116.90686225891,117.62104988098145,0.001140657273962812,0.1564,0.0729,0.1983,0.073,0.0729,0.1547,0.1984,0.0723,763,481,1200,246,430,1103,1047,72,22859.011251449585,22793.851930618286
2012-01-30,101886.34655284882,73.16264820098877,0.0007180809860822621,0.0744,0.2022,0.0743,0.0743,0.2021,0.0959,0.2021,0.0739,361,1339,450,249,1198,688,1068,73,27000.257354736328,26955.798953056335
2012-01-31,102272.3496170044,149.70365047454834,0.0014637744320450984,0.2158,0.0913,0.0883,0.1065,0.0794,0.1723,0.1662,0.0787,1050,607,531,356,472,1230,876,78,27412.186674118042,27488.7276763916
2012-02-01,103788.87856006622,173.062087059021,0.0016674434627296216,0.0846,0.0848,0.0847,0.2302,0.1153,0.0846,0.0846,0.2296,414,558,506,776,683,602,445,229,32340.03840827942,32363.39684486389
2012-02-02,104077.28249645233,171.66115283966064,0.0016493623653702915,0.0718,0.1952,0.136,0.0715,0.1951,0.0717,0.165,0.0921,351,1278,813,241,1159,509,869,92,33506.86440086365,33505.46346664429
2012-02-03,105755.83836460114,63.46312618255615,0.0006000909941611195,0.2015,0.0741,0.2015,0.0741,0.0989,0.2015,0.074,0.074,990,484,1205,253,590,1431,385,74,34781.77293968201,34673.5749130249
2012-02-06,104986.69740390778,181.0565366744995,0.0017245664560523674,0.1145,0.1684,0.1685,0.0618,0.1684,0.0722,0.1681,0.0765,562,1097,1016,210,999,514,872,76,27182.889289855957,27300.4827003479
2012-02-07,105747.22346782684,167.88051509857178,0.0015875642838948745,0.0772,0.0886,0.21,0.077,0.1087,0.1303,0.1904,0.1161,383,577,1257,261,644,923,991,116,18609.099529266357,18595.92350769043
2012-02-08,106262.81777000427,158.95835494995117,0.00149589817290561,0.0802,0.0804,0.0804,0.0802,0.1868,0.0804,0.1922,0.2179,400,523,476,272,1110,570,1007,218,20198.189262390137,20189.267102241516
2012-02-09,106438.79501533508,120.30241203308105,0.0011302496614674056,0.2593,0.0954,0.0954,0.1476,0.0954,0.0954,0.0954,0.1149,1298,619,565,503,566,674,500,115,31053.13013458252,31014.47419166565
2012-02-10,104612.81364536285,142.14500617980957,0.0013587724221019496,0.0955,0.0954,0.0954,0.1162,0.1392,0.0955,0.2596,0.1019,477,625,572,394,824,680,1356,101,22007.6889667511,22029.531560897827
2012-02-13,105552.92909622192,133.95998764038086,0.0012691261984616562,0.0881,0.2397,0.0881,0.088,0.0881,0.1607,0.1583,0.0876,442,1567,530,298,521,1148,825,87,22126.368896484375,22118.183877944946
2012-02-14,104839.95181083679,120.8136100769043,0.0011523623198042752,0.0966,0.099,0.139,0.0987,0.0966,0.1728,0.2001,0.0962,483,648,837,333,571,1239,1042,95,14725.98952293396,14712.843145370483
2012-02-15,104739.00824356079,61.124820709228516,0.000583591746134243,0.2055,0.0945,0.0756,0.0754,0.1072,0.1338,0.2055,0.1019,1025,621,458,250,634,961,1071,101,13717.220113754272,13657.531324386597
2012-02-16,106182.56388950348,61.92537975311279,0.0005831972546599465,0.0894,0.0927,0.1422,0.1536,0.2431,0.0894,0.0893,0.0996,446,608,861,511,1438,640,466,99,29830.023832321167,29830.82439136505
2012-02-17,106687.90580844879,137.04442310333252,0.0012845356937588304,0.1464,0.0817,0.1269,0.0814,0.1591,0.1515,0.1251,0.1266,736,532,765,272,942,1078,653,126,19439.700107574463,19514.819150924683
2012-02-21,107100.35720157623,155.47362995147705,0.0014516630384234506,0.0957,0.1142,0.0957,0.0956,0.1506,0.2038,0.1477,0.0951,477,741,576,321,893,1447,778,95,13122.152528762817,13140.581735610962
2012-02-22,106753.1081790924,80.73546981811523,0.0007562821466768991,0.071,0.1454,0.1933,0.0711,0.0832,0.1338,0.1934,0.1081,351,946,1167,237,494,950,1022,108,20132.13037109375,20057.39221096039
2012-02-23,107498.16744804382,103.42869186401367,0.0009621437678368144,0.1146,0.096,0.1312,0.0845,0.0845,0.2299,0.1475,0.1108,568,624,798,282,500,1619,778,111,16798.938543319702,16821.6317653656
2012-02-24,108228.45293140411,120.88869285583496,0.0011169770017174225,0.1545,0.0945,0.1434,0.0945,0.1891,0.0944,0.0944,0.1342,774,611,866,317,1120,663,497,135,20707.82462310791,20725.28462409973
2012-02-27,107569.79075813293,94.37796783447266,0.000877364984809521,0.2212,0.0814,0.0814,0.0814,0.1215,0.1543,0.1618,0.0962,1103,527,496,273,719,1089,853,96,20853.99703025818,20827.486305236816
2012-02-28,108340.79977321625,111.57055759429932,0.001029811094507736,0.2201,0.081,0.0809,0.0809,0.1519,0.081,0.1196,0.1835,1096,522,494,269,904,572,631,184,12876.569776535034,12893.76236629486
2012-02-29,107447.13037014008,178.5061264038086,0.0016613391701470331,0.182,0.113,0.163,0.07,0.1671,0.1387,0.0955,0.0691,901,733,998,235,999,979,503,69,20241.415932655334,20308.351501464844
2012-03-01,108919.90330410004,145.21584033966064,0.0013332351198864342,0.0956,0.0957,0.0957,0.0958,0.1001,0.1143,0.2555,0.146,475,622,575,324,602,808,1345,147,28724.945804595947,28691.6555185318
2012-03-02,107909.45307445526,112.1878662109375,0.001039648177380069,0.2452,0.0966,0.1257,0.0901,0.1478,0.0901,0.0976,0.106,1218,629,756,305,888,637,515,106,24639.797805786133,24606.76983165741
2012-03-05,107318.694896698,161.95855712890625,0.0015091364769652023,0.1027,0.1028,0.1029,0.2796,0.1028,0.1028,0.1028,0.1021,515,669,616,947,614,723,542,102,22863.19038963318,22912.961080551147
2012-03-06,104388.61166286469,98.52592468261719,0.0009438378680695387,0.0838,0.0838,0.0838,0.2135,0.2279,0.0837,0.0837,0.1389,419,557,512,709,1362,602,444,137,16768.44676208496,16705.014129638672
2012-03-07,105474.4626712799,145.97312355041504,0.001383966505763131,0.0831,0.0831,0.1305,0.1148,0.0831,0.226,0.1839,0.094,419,551,793,383,495,1616,975,93,30399.762268066406,30447.209466934204
2012-03-08,108022.77025985718,86.39939308166504,0.0007998257485326897,0.219,0.2039,0.085,0.0849,0.1148,0.0849,0.122,0.0847,1111,1335,514,285,684,599,654,85,31099.124000549316,31039.550270080566
2012-03-09,107627.48615074158,140.5193691253662,0.0013056085777991388,0.0798,0.2174,0.0989,0.0798,0.1271,0.1211,0.1912,0.0833,402,1426,610,266,759,862,1024,83,15932.473419189453,15986.593395233154
2012-03-12,107768.49527740479,80.96734237670898,0.0007513080902567353,0.0985,0.139,0.0985,0.0985,0.1,0.0985,0.268,0.0983,501,908,606,332,597,696,1437,98,14128.877897262573,14069.325870513916
2012-03-13,109469.79475593567,134.8362808227539,0.001231721326630539,0.2171,0.0799,0.0798,0.178,0.1738,0.0798,0.0798,0.1106,1104,524,488,604,1044,565,426,110,31223.23719215393,31277.106130599976
2012-03-14,108530.80988025665,141.898588180542,0.0013074498231156703,0.0798,0.1453,0.0797,0.1832,0.1037,0.0797,0.2169,0.1104,409,944,489,623,621,563,1158,109,22519.481298446655,22526.543605804443
2012-03-15,109482.35189533234,133.02019882202148,0.0012149921564453773,0.1175,0.0767,0.2087,0.0767,0.0767,0.2086,0.1158,0.1181,603,495,1273,261,457,1473,622,117,33204.40693855286,33195.528549194336
2012-03-16,110223.75897598267,114.49820327758789,0.0010387796999604831,0.1658,0.0777,0.088,0.0775,0.2113,0.2025,0.0988,0.0773,851,502,537,264,1261,1426,529,77,20391.240325927734,20372.7183303833
2012-03-19,110719.72211456299,141.6189956665039,0.0012790765092416786,0.2119,0.078,0.078,0.078,0.2119,0.078,0.0824,0.1807,1091,504,471,266,1262,550,442,180,16724.94443321228,16752.065225601196
2012-03-20,109800.73380661011,95.28039741516113,0.0008677573829604513,0.0865,0.0822,0.0822,0.2233,0.1376,0.0821,0.0822,0.223,445,534,500,763,818,580,443,221,22030.82195854187,21984.483360290527
2012-03-21,109308.20065879822,129.52038764953613,0.0011849100695914808,0.1441,0.0757,0.0756,0.0755,0.1466,0.0757,0.2002,0.2054,738,491,466,258,871,536,1077,203,20110.844554901123,20145.084545135498
2012-03-22,108219.2739238739,186.7399778366089,0.0017255704188883195,0.089,0.121,0.0889,0.0958,0.2421,0.0891,0.1698,0.1025,458,788,550,324,1436,635,913,101,20331.620299339294,20388.839889526367
2012-03-23,108828.3838224411,149.64792156219482,0.0013750817232235373,0.2121,0.1629,0.078,0.0779,0.078,0.078,0.1234,0.1883,1088,1055,485,265,463,554,663,186,27216.113073349,27179.021017074585
2012-03-26,110605.67509937286,189.1845827102661,0.0017104419148501612,0.1212,0.0977,0.0977,0.1743,0.2004,0.0977,0.1124,0.097,621,629,605,598,1191,694,605,96,28603.82093811035,28643.357599258423
2012-03-27,109905.07173633575,78.28589344024658,0.0007123046480334944,0.1245,0.0985,0.0913,0.1886,0.2225,0.0914,0.0913,0.0912,639,636,569,638,1325,656,493,90,4276.773077011108,4165.874387741089
2012-03-28,109304.42376804352,143.8376588821411,0.0013159362990411171,0.0871,0.0871,0.0872,0.1525,0.1111,0.1262,0.237,0.1105,449,566,544,512,659,909,1290,109,21951.001901626587,22016.55366706848
2012-03-29,108536.0490989685,138.89235591888428,0.0012796887031721175,0.069,0.179,0.1874,0.0779,0.1774,0.1379,0.1018,0.0683,354,1170,1191,260,1055,997,552,67,29627.351978302002,29622.406675338745
