date,portfolio_value,cash,w_c,w_XLF,w_XLK,w_XLV,w_XLY,w_XLP,w_XLE,w_XLI,w_XLU,w_XLB,w_XLRE,w_XLC,s_XLF,s_XLK,s_XLV,s_XLY,s_XLP,s_XLE,s_XLI,s_XLU,s_XLB,s_XLRE,s_XLC,purchases,sales
2017-01-03,100000.0,14049.975454330444,0.14049975454330443,0.0511,0.0508,0.1388,0.0511,0.1385,0.0508,0.0508,0.1386,0.051,0.1381,0.0,255,114,229,68,335,96,94,375,121,595,0,85950.02454566956,0.0
2017-01-04,100556.23225784302,8062.781219482422,0.08018181507445606,0.0584,0.1586,0.1227,0.1589,0.097,0.0583,0.0583,0.0786,0.0583,0.0706,0.0,291,357,202,210,236,111,108,213,137,302,0,24627.359802246094,18640.16556739807
2017-01-05,100602.03897285461,5394.558481216431,0.05362275492917237,0.1377,0.1375,0.0879,0.1368,0.0503,0.0503,0.1281,0.0978,0.0696,0.0505,0.0,693,309,144,181,122,96,238,265,164,215,0,18156.99574661255,15488.773008346558
2017-01-06,100964.52166938782,5243.419937133789,0.05193329152099158,0.1335,0.0491,0.061,0.1332,0.0489,0.1332,0.1333,0.0738,0.1332,0.0489,0.0,672,110,100,176,119,255,247,200,315,209,0,15322.648391723633,15171.509847640991
2017-01-09,100415.81408691406,12786.941871643066,0.12733992138504635,0.0541,0.123,0.1071,0.1475,0.0992,0.0538,0.0538,0.0542,0.054,0.1258,0.0,273,274,174,194,242,104,100,148,127,538,0,26132.993545532227,33676.515480041504
2017-01-10,100272.60521888733,5997.569595336914,0.05981264356545524,0.1576,0.058,0.0575,0.1154,0.058,0.0626,0.1575,0.0577,0.1577,0.058,0.0,792,129,93,151,142,122,291,158,370,251,0,32399.808603286743,25610.43632698059
2017-01-11,100685.79738235474,4964.203554153442,0.04930391061315092,0.1279,0.1089,0.1275,0.074,0.0469,0.1158,0.1279,0.0471,0.1279,0.047,0.0,641,242,209,97,115,224,236,128,299,205,0,17551.680938720703,16518.31489753723
2017-01-12,100447.10843849182,15341.179975509644,0.15272893579513763,0.0549,0.081,0.0924,0.0573,0.0988,0.0547,0.0546,0.1494,0.0548,0.1493,0.0,277,180,151,75,242,106,101,405,128,648,0,25728.99310684204,36105.96952819824
2017-01-13,100479.00707626343,5202.467079162598,0.051776656941025824,0.1367,0.1367,0.0502,0.1364,0.0502,0.0643,0.1368,0.0501,0.1367,0.0501,0.0,686,303,82,178,123,125,252,136,320,218,0,39154.4146900177,29015.701793670654
2017-01-17,100135.32899093628,6290.395233154297,0.06281894009379717,0.1644,0.0604,0.0599,0.0601,0.0603,0.1641,0.06,0.0833,0.1643,0.0605,0.0,842,134,98,78,145,316,111,223,385,260,0,21885.70640182495,22973.63455581665
2017-01-18,100382.98740768433,5835.663698196411,0.05813399111640396,0.1524,0.1524,0.1523,0.1074,0.0578,0.0558,0.0958,0.0558,0.0561,0.056,0.0,776,338,250,140,139,108,177,150,131,241,0,26888.5620803833,26433.830545425415
2017-01-19,100043.75470352173,14170.097677230835,0.14163900304645424,0.0757,0.0935,0.1057,0.1396,0.089,0.0511,0.0613,0.0515,0.0512,0.1398,0.0,386,207,174,182,214,99,112,139,120,605,0,14757.675449371338,23092.10942840576
2017-01-20,100363.61322212219,13783.540082931519,0.13733602886960775,0.0497,0.0829,0.1353,0.0491,0.0931,0.0495,0.0496,0.1353,0.0829,0.1353,0.0,253,183,224,64,223,96,91,366,193,584,0,14975.929000854492,14589.371406555176
2017-01-23,100239.74737548828,14719.97325515747,0.14684766911889643,0.0528,0.0527,0.1433,0.0523,0.1437,0.0526,0.0527,0.1068,0.0526,0.1438,0.0,270,116,238,68,344,103,97,290,122,616,0,7985.977819442749,8922.410991668701
2017-01-24,100628.0428314209,5880.1351680755615,0.05843435887873098,0.1252,0.137,0.1227,0.152,0.0988,0.0556,0.0819,0.0565,0.0559,0.0558,0.0,635,301,206,197,236,108,150,154,127,240,0,29129.219678878784,20289.381591796875
2017-01-25,101298.26007270813,15088.527772903442,0.14895149987841308,0.0536,0.0534,0.0938,0.0532,0.1456,0.0535,0.0532,0.1457,0.0533,0.1458,0.0,269,117,157,69,350,104,97,400,121,635,0,23070.949298858643,32279.341903686523
2017-01-26,101195.3185787201,11620.14134979248,0.1148288430037714,0.0506,0.1377,0.1376,0.1052,0.1376,0.0505,0.0506,0.0598,0.0504,0.1052,0.0,253,302,232,136,332,98,92,164,114,458,0,18278.928783416748,14810.542360305786
2017-01-27,101069.21175765991,4852.493518829346,0.048011589626962545,0.1258,0.1155,0.1258,0.125,0.0462,0.1255,0.0705,0.046,0.1256,0.0461,0.0,631,252,210,162,112,246,128,126,285,202,0,26897.913738250732,20130.265907287598
2017-01-30,100347.38256263733,6831.897834777832,0.06808247171283544,0.0659,0.0842,0.0948,0.0652,0.0656,0.1791,0.066,0.0659,0.1793,0.0658,0.0,331,184,158,84,158,355,120,179,408,288,0,16790.058139801025,18769.46245574951
2017-01-31,100436.04644584656,14639.18042564392,0.14575623935513154,0.0526,0.1383,0.1426,0.0519,0.116,0.0524,0.0523,0.0527,0.0524,0.1431,0.0,266,304,234,67,278,104,96,141,120,622,0,22882.1844291687,30689.46702003479
2017-02-01,100299.13285636902,5976.681665420532,0.059588567669665665,0.0953,0.0831,0.1551,0.1548,0.0696,0.0566,0.0566,0.1551,0.0571,0.057,0.0,481,181,252,200,168,113,104,422,130,250,0,27401.921298980713,18739.422538757324
2017-02-02,100520.85244941711,9494.453895568848,0.09445258037725587,0.0569,0.155,0.0571,0.1551,0.0568,0.0568,0.0726,0.1549,0.0567,0.0835,0.0,289,339,93,201,136,113,134,418,130,363,0,11587.387475967407,15105.159706115723
2017-02-03,100967.6632976532,4944.000499725342,0.04896617727153299,0.1275,0.1274,0.1271,0.1274,0.0468,0.0465,0.1272,0.0469,0.1275,0.0468,0.0,637,278,207,166,112,92,234,127,293,203,0,26747.429431915283,22196.976036071777
2017-02-06,100771.23080444336,5382.722654342651,0.053415271515224044,0.1381,0.0505,0.1379,0.138,0.0542,0.0507,0.138,0.0506,0.1379,0.0507,0.0,692,110,224,180,130,101,253,137,317,221,0,7338.031965255737,7776.754119873047
2017-02-07,100645.50874137878,4951.112565994263,0.049193576821363834,0.1292,0.0974,0.129,0.1288,0.0715,0.0852,0.1193,0.0916,0.0514,0.0475,0.0,648,211,209,168,170,172,218,247,119,207,0,14030.800151824951,13599.190063476562
2017-02-08,100810.86738586426,14410.184539794922,0.142942769102843,0.0516,0.0697,0.1083,0.0516,0.1404,0.0515,0.0513,0.1405,0.0514,0.1407,0.0,261,151,176,67,333,104,94,376,119,609,0,21150.044982910156,30609.116956710815
2017-02-09,101070.06973457336,5164.801139831543,0.05110119299803751,0.1329,0.1326,0.0486,0.133,0.0486,0.078,0.1327,0.061,0.1327,0.0488,0.0,665,287,79,172,115,156,242,165,308,211,0,41776.29843521118,32530.915035247803
2017-02-10,101604.88463020325,16733.195360183716,0.164688886967247,0.0598,0.0595,0.0595,0.0588,0.0593,0.1193,0.0594,0.0592,0.1389,0.1617,0.0,300,129,97,76,141,238,108,160,321,698,0,18444.155700683594,30012.549921035767
