date,portfolio_value,cash,w_c,w_XLF,w_XLK,w_XLV,w_XLY,w_XLP,w_XLE,w_XLI,w_XLU,w_XLB,w_XLRE,w_XLC,s_XLF,s_XLK,s_XLV,s_XLY,s_XLP,s_XLE,s_XLI,s_XLU,s_XLB,s_XLRE,s_XLC,purchases,sales
2014-01-16,100234.08517074585,32880.18380355835,0.32803395918212763,0.0687,0.0939,0.0685,0.0686,0.0781,0.0764,0.0686,0.0806,0.0685,0.0,0.0,478,303,145,120,250,138,163,309,188,0,0,3784.3208980560303,17778.999552726746
2014-01-17,99995.88338088989,12615.245334625244,0.1261576467760485,0.1692,0.1013,0.062,0.1181,0.0621,0.0621,0.0811,0.1495,0.0685,0.0,0.0,1178,328,131,207,200,112,193,572,188,0,0,23920.792320251465,3655.8538513183594
2014-01-21,100376.7464389801,24598.83713245392,0.24506509729728854,0.0574,0.0628,0.0749,0.1561,0.1394,0.0573,0.088,0.0616,0.0574,0.0,0.0,401,203,158,275,449,103,210,234,157,0,0,13636.567560195923,25620.159358024597
2014-01-22,100424.00770568848,15056.97929763794,0.14993406100426962,0.0684,0.0682,0.0683,0.1235,0.0962,0.0771,0.0789,0.1836,0.0857,0.0,0.0,478,221,144,217,310,138,188,697,237,0,0,18783.155661582947,9241.297826766968
2014-01-23,99714.95468521118,17789.97783946991,0.17840832296049128,0.0935,0.0673,0.1281,0.1058,0.1193,0.0662,0.0664,0.1063,0.0685,0.0,0.0,659,217,270,186,385,119,159,402,191,0,0,10839.333367347717,13572.331909179688
2014-01-24,98117.39522647858,14539.006596565247,0.14817970414935822,0.0731,0.0903,0.1271,0.1304,0.073,0.0731,0.0983,0.1069,0.0795,0.0,0.0,519,292,270,230,234,132,239,402,224,0,0,9809.569276809692,6558.598033905029
2014-01-27,97786.38967704773,31672.906188964844,0.3238989218598696,0.0593,0.059,0.0591,0.0589,0.1609,0.0592,0.0591,0.1013,0.0592,0.0,0.0,422,192,126,104,516,107,143,379,167,0,0,8598.834526062012,25732.73411846161
2014-01-28,98236.47466087341,32530.94079399109,0.33114930993088487,0.0607,0.0605,0.0605,0.092,0.1248,0.0605,0.0606,0.0711,0.0781,0.0,0.0,428,199,128,162,399,109,146,266,220,0,0,5702.372362136841,6560.406967163086
2014-01-29,97636.8876876831,13147.115421295166,0.13465315960653745,0.1802,0.0674,0.066,0.0658,0.0662,0.0944,0.1418,0.0752,0.1083,0.0,0.0,1279,222,140,117,214,170,343,280,302,0,0,27440.05607032776,8056.230697631836
2014-01-30,98532.78571796417,27908.87032032013,0.2832445070639252,0.0632,0.0661,0.1246,0.0589,0.1553,0.0591,0.0711,0.0592,0.0593,0.0,0.0,446,217,262,104,506,107,172,219,166,0,0,14545.158248901367,29306.91314792633
2014-01-31,98111.42424678802,11887.879809379578,0.1211671311536257,0.0804,0.1466,0.0876,0.0785,0.058,0.058,0.1538,0.1579,0.0581,0.0,0.0,572,478,185,140,189,106,372,577,163,0,0,29293.791833877563,13272.801322937012
