date,portfolio_value,cash,w_c,w_XLF,w_XLK,w_XLV,w_XLY,w_XLP,w_XLE,w_XLI,w_XLU,w_XLB,w_XLRE,w_XLC,s_XLF,s_XLK,s_XLV,s_XLY,s_XLP,s_XLE,s_XLI,s_XLU,s_XLB,s_XLRE,s_XLC
2019-01-02,100000.0,183.2508773803711,0.0018325087738037108,0.0583,0.0583,0.1586,0.0619,0.1586,0.058,0.058,0.1586,0.0583,0.0821,0.0875,275,100,208,66,373,134,100,374,131,336,222
2019-01-03,98516.68301010132,355.3471031188965,0.0036069738876862234,0.0513,0.1394,0.1388,0.1389,0.1391,0.0509,0.0508,0.1343,0.0509,0.0511,0.0511,244,248,183,149,324,117,89,312,116,205,130
2019-01-04,101467.00931167603,251.68574905395508,0.0024804687825266676,0.0506,0.1373,0.05,0.0505,0.1375,0.0506,0.0581,0.1374,0.0505,0.1376,0.1374,240,241,66,54,323,116,101,324,114,563,345
2019-01-07,102038.77524375916,269.7771816253662,0.0026438692642174397,0.1029,0.1515,0.1514,0.1293,0.0558,0.1013,0.0554,0.0557,0.0826,0.0559,0.0557,490,265,200,136,132,230,96,133,187,228,139
2019-01-08,103006.25469398499,307.7370662689209,0.002987557087510445,0.1855,0.0679,0.068,0.0676,0.068,0.1855,0.0678,0.068,0.0823,0.0682,0.0682,891,119,90,71,161,422,117,162,186,276,169
2019-01-09,103484.41110229492,261.1295356750488,0.0025233707463138658,0.1441,0.072,0.0718,0.0714,0.0721,0.0827,0.072,0.1957,0.0718,0.072,0.072,692,125,95,75,173,186,124,471,163,294,179
2019-01-10,104150.74335098267,321.1557140350342,0.003083566220480596,0.0561,0.1321,0.0654,0.0878,0.0558,0.101,0.0813,0.056,0.0561,0.1527,0.1526,271,230,87,93,134,228,139,134,127,618,381
2019-01-11,104022.02618217468,212.6809196472168,0.0020445758216125,0.0573,0.066,0.1186,0.0586,0.156,0.1561,0.0573,0.156,0.0572,0.0573,0.0574,276,115,157,62,373,354,98,374,130,231,144
2019-01-14,103255.48766899109,327.3887310028076,0.00317066664826887,0.0575,0.0573,0.0572,0.0568,0.0574,0.0576,0.0571,0.1565,0.1563,0.1417,0.1414,273,100,76,60,137,130,97,381,355,569,353
2019-01-15,104119.71774101257,248.90530586242676,0.0023905683886077554,0.0873,0.0588,0.1596,0.1592,0.0588,0.1588,0.0588,0.0586,0.0585,0.0694,0.0698,414,102,210,168,140,360,101,142,135,278,173
2019-01-16,104251.32989692688,345.1280822753906,0.0033105388930445125,0.0611,0.0606,0.1659,0.0604,0.0609,0.1658,0.0606,0.0608,0.1656,0.0684,0.0666,284,105,219,64,146,377,104,147,381,273,166
2019-01-17,105210.1575126648,306.0327033996582,0.002908775261198703,0.0776,0.0638,0.0545,0.0546,0.0548,0.0981,0.0546,0.1493,0.1495,0.1193,0.121,362,111,72,58,132,223,93,363,341,478,303
2019-01-18,106415.18175506592,330.6884231567383,0.003107530501783838,0.1299,0.1299,0.1099,0.1294,0.0478,0.0475,0.1295,0.0476,0.13,0.0478,0.0478,603,225,145,137,115,107,219,117,295,193,120
2019-01-22,104998.97860527039,343.3299083709717,0.0032698404587503138,0.1511,0.0581,0.0549,0.0556,0.0555,0.1509,0.1508,0.0554,0.151,0.0581,0.0553,700,101,72,59,133,343,257,134,343,232,140
