date,portfolio_value,cash,w_c,w_XLF,w_XLK,w_XLV,w_XLY,w_XLP,w_XLE,w_XLI,w_XLU,w_XLB,w_XLRE,w_XLC,s_XLF,s_XLK,s_XLV,s_XLY,s_XLP,s_XLE,s_XLI,s_XLU,s_XLB,s_XLRE,s_XLC,purchases,sales
2021-01-04,100000.0,358.7745246887207,0.003587745246887207,0.0867,0.0839,0.0652,0.0646,0.0653,0.0655,0.1508,0.1783,0.0819,0.0789,0.0752,323,68,62,42,110,205,187,335,125,259,118,99641.22547531128,0.0
2021-01-05,100829.86363220215,340.7291450500488,0.003379248297834946,0.1158,0.0603,0.061,0.0614,0.1248,0.1669,0.0614,0.0612,0.1615,0.0613,0.0609,433,49,58,40,212,504,76,116,243,203,96,26918.00564956665,26899.96026992798
2021-01-06,102819.7152633667,412.87149810791016,0.004015489607711555,0.1633,0.1626,0.163,0.0593,0.0595,0.0599,0.0649,0.06,0.0835,0.0601,0.06,596,137,156,39,103,179,80,113,123,204,97,26281.924598693848,26354.06695175171
2021-01-07,104041.27141952515,538.8468170166016,0.005179164091947819,0.056,0.1517,0.1517,0.0552,0.152,0.056,0.0556,0.105,0.0561,0.0779,0.0775,204,126,145,36,267,167,69,203,83,267,125,18280.566040039062,18406.541358947754
2021-01-08,104567.14884185791,430.41646575927734,0.0041161729140211855,0.0688,0.0687,0.068,0.1136,0.1321,0.069,0.0688,0.1874,0.0689,0.0775,0.073,252,57,65,73,232,207,86,361,103,264,118,20185.436630249023,20077.0062789917
2021-01-11,103881.38835525513,526.9251117706299,0.005072372636844662,0.1246,0.0638,0.0634,0.063,0.0744,0.1749,0.0636,0.0642,0.1744,0.0642,0.0642,452,53,60,41,131,513,79,124,259,221,105,27481.479026794434,27577.987672805786
2021-01-12,104778.77773094177,374.9507541656494,0.0035784990270498673,0.071,0.1675,0.1504,0.0604,0.0994,0.0616,0.083,0.0618,0.1183,0.0617,0.0614,257,141,145,39,177,176,103,121,175,214,103,24921.970222473145,24769.995864868164
2021-01-13,104929.95555114746,387.869421005249,0.0036964603574637413,0.1386,0.1385,0.0509,0.1375,0.1387,0.051,0.0503,0.0509,0.1383,0.0508,0.0508,503,116,49,89,247,147,63,98,207,174,85,21590.06898880005,21602.98765563965
2021-01-14,104791.5863647461,436.0415325164795,0.004161035705660166,0.0635,0.0628,0.172,0.063,0.1728,0.0715,0.0633,0.1369,0.0634,0.0635,0.0631,229,53,166,41,309,200,79,264,95,216,106,31293.536823272705,31341.708934783936
2021-01-15,104347.15594863892,391.89667320251465,0.003755700571229862,0.0594,0.0989,0.1608,0.0582,0.1612,0.0593,0.0588,0.1614,0.0594,0.0594,0.0594,217,84,154,38,288,172,74,307,90,198,99,6168.541431427002,6124.396572113037
