date,portfolio_value,cash,w_c,w_XLF,w_XLK,w_XLV,w_XLY,w_XLP,w_XLE,w_XLI,w_XLU,w_XLB,w_XLRE,w_XLC,s_XLF,s_XLK,s_XLV,s_XLY,s_XLP,s_XLE,s_XLI,s_XLU,s_XLB,s_XLRE,s_XLC
2020-01-02,100000.0,354.07330322265625,0.0035407330322265625,0.0646,0.064,0.1188,0.0641,0.0644,0.1755,0.0645,0.1738,0.0777,0.0646,0.0645,231,72,127,53,119,367,85,324,143,203,125
2020-01-03,99542.20129203796,320.7843189239502,0.0032225961929737697,0.0495,0.1343,0.135,0.0759,0.0494,0.0695,0.0495,0.0491,0.1347,0.1233,0.1266,178,152,145,63,91,145,65,91,251,383,246
2020-01-06,99859.03902626038,431.55039405822754,0.004321595703967678,0.0573,0.0715,0.057,0.0566,0.0574,0.1241,0.0569,0.1444,0.0575,0.1563,0.1565,207,81,61,47,106,258,75,268,108,487,301
2020-01-07,99533.02584266663,356.3188591003418,0.0035799058260680273,0.0547,0.0947,0.1206,0.0543,0.0744,0.0544,0.1095,0.0545,0.0822,0.1487,0.1483,198,107,129,45,138,113,144,101,154,467,284
2020-01-08,99944.44146156311,377.41297912597656,0.0037762278082380703,0.0587,0.074,0.0581,0.0579,0.0582,0.0585,0.0585,0.1596,0.0934,0.1597,0.1598,212,83,62,48,108,124,77,297,175,501,305
2020-01-09,100430.71551704407,408.531156539917,0.004067790958539823,0.0596,0.104,0.059,0.0796,0.0594,0.07,0.1123,0.0597,0.0671,0.1627,0.1624,215,116,63,66,110,148,148,111,126,513,310
2020-01-10,100278.76358604431,288.1684169769287,0.002873673414707247,0.0567,0.0565,0.0563,0.0565,0.0568,0.1544,0.0566,0.0983,0.1541,0.1286,0.1223,206,63,60,47,105,328,75,182,290,401,234
2020-01-13,101007.6570072174,402.60552406311035,0.00398589112936599,0.152,0.1513,0.0557,0.0646,0.0557,0.0888,0.1519,0.0556,0.0561,0.0831,0.0812,552,168,60,54,103,190,201,103,105,258,155
2020-01-14,100874.51986122131,292.04396629333496,0.002895121252573158,0.0726,0.0539,0.0543,0.0826,0.0541,0.1484,0.1483,0.1257,0.1482,0.0546,0.0544,264,60,58,69,100,317,196,232,278,170,104
2020-01-15,101165.1048374176,360.06263160705566,0.0035591583895031014,0.0652,0.0654,0.0649,0.0643,0.0652,0.0811,0.065,0.1046,0.0653,0.1776,0.1777,239,73,69,54,120,175,86,191,122,551,339
