date,portfolio_value,cash,w_c,w_XLF,w_XLK,w_XLV,w_XLY,w_XLP,w_XLE,w_XLI,w_XLU,w_XLB,w_XLRE,w_XLC,s_XLF,s_XLK,s_XLV,s_XLY,s_XLP,s_XLE,s_XLI,s_XLU,s_XLB,s_XLRE,s_XLC,purchases,sales
2015-01-02,100000.0,31449.89776992798,0.31449897769927976,0.0573,0.057,0.1555,0.0923,0.0571,0.057,0.057,0.0897,0.0626,0.0,0.0,348,157,269,145,156,109,122,266,159,0,0,68550.10223007202,0.0
2015-01-05,98858.31545257568,11423.458843231201,0.11555384886880116,0.0576,0.0568,0.057,0.1029,0.1552,0.068,0.1292,0.1092,0.1487,0.0,0.0,353,157,98,163,422,134,280,324,383,0,0,29859.749099731445,9833.310173034668
2015-01-06,98184.79401683807,11950.192602157593,0.12171123565333558,0.0639,0.0594,0.0876,0.1618,0.1619,0.0594,0.1619,0.0628,0.0597,0.0,0.0,395,165,150,257,438,118,353,185,154,0,0,13607.494340896606,14134.228099822998
2015-01-07,99283.68822288513,30404.873949050903,0.3062423897951296,0.0559,0.0556,0.0555,0.0556,0.1517,0.0559,0.0558,0.1519,0.0558,0.0,0.0,346,155,94,88,408,112,122,448,144,0,0,8853.64944076538,27308.33078765869
2015-01-08,100365.89888954163,26721.147871017456,0.26623731931525463,0.0526,0.0526,0.1433,0.0775,0.143,0.0525,0.0835,0.0763,0.0526,0.0,0.0,324,145,241,122,383,104,181,226,134,0,0,13667.487445831299,9983.761367797852
2015-01-09,99737.51165962219,29602.916982650757,0.29680825689413326,0.0543,0.0542,0.1476,0.0543,0.0675,0.1475,0.0542,0.054,0.0695,0.0,0.0,337,149,249,86,181,293,118,160,177,0,0,12004.298812866211,14886.067924499512
2015-01-12,99097.0739068985,10557.792993545532,0.10653990655127273,0.1429,0.0525,0.1039,0.1429,0.1145,0.0596,0.1427,0.0624,0.0722,0.0,0.0,889,145,174,226,306,121,311,184,183,0,0,32015.245693206787,12970.121704101562
2015-01-13,98859.93293094635,33070.00866127014,0.33451376792223336,0.0612,0.0609,0.0608,0.0608,0.0649,0.0685,0.0611,0.1664,0.061,0.0,0.0,381,168,102,96,173,140,133,488,156,0,0,11988.629432678223,34500.84510040283
2015-01-14,98697.82408046722,12293.855786323547,0.12456055542116617,0.1665,0.0654,0.1078,0.1662,0.0651,0.0831,0.0613,0.061,0.0991,0.0,0.0,1050,181,181,265,174,169,134,177,256,0,0,31347.389817237854,10571.23694229126
2015-01-15,97992.42283725739,13732.549786567688,0.1401388943038408,0.1543,0.0689,0.0689,0.0692,0.1035,0.1878,0.0692,0.0692,0.0689,0.0,0.0,978,192,116,111,274,384,151,198,177,0,0,15874.62213897705,17313.31613922119
2015-01-16,99349.83462619781,11506.600106239319,0.11581901620201705,0.0748,0.0569,0.0567,0.1545,0.0586,0.1549,0.0569,0.1162,0.1548,0.0,0.0,475,159,95,248,156,311,125,334,397,0,0,21701.620208740234,19475.670528411865
2015-01-20,99414.15289783478,30334.72283267975,0.30513485201502366,0.1091,0.0739,0.0751,0.1201,0.0558,0.0553,0.0554,0.0558,0.0944,0.0,0.0,696,205,126,194,148,111,121,160,242,0,0,6928.015159606934,25756.137886047363
2015-01-21,99876.11795139313,23093.484203338623,0.23122128369644449,0.1234,0.0625,0.1338,0.1178,0.0818,0.0623,0.0625,0.0624,0.0624,0.0,0.0,789,174,225,190,217,123,136,178,159,0,0,11853.234463691711,4611.995834350586
2015-01-22,100926.97311210632,34904.43727684021,0.34583854246841944,0.0631,0.0633,0.0631,0.0763,0.0979,0.0629,0.0629,0.1018,0.0629,0.0,0.0,398,175,106,122,260,125,136,295,160,0,0,5888.285900115967,17699.238973617554
2015-01-23,100531.75096130371,12730.812684059143,0.12663474536476976,0.0956,0.0624,0.107,0.1109,0.1099,0.0622,0.1353,0.1279,0.0622,0.0,0.0,607,172,180,177,294,124,294,368,160,0,0,22333.468201637268,159.84360885620117
