,Annual return,Cumulative returns,Annual volatility,Sharpe ratio,Calmar ratio,Stability,Max drawdown,Omega ratio,Sortino ratio,Skew,Kurtosis,Tail ratio,Daily value at risk (95%),Portfolio turnover (in %),lookback
0,0.13072722985060037,2.4081587911987303,0.1299121799083373,1.0110182622544512,0.62602808066353,0.8850245335713822,-0.20882007355331725,1.2087350689502494,1.2686407909449955,-0.34953480300902945,5.862947741733917,1.0416166614825944,-0.012298428934134098,663.9269240458407,10
1,0.061964575107408715,0.8221420991420745,0.1308416731476533,0.5252300439009868,0.23430873820086684,0.8842970892791201,-0.2644569536040439,1.100198879016174,0.6414393797433617,-0.7378917944287986,4.718225899488239,0.9838087081264443,-0.01299073148457478,437.8631459652597,30
2,0.05830959942506797,0.7605120675373078,0.13858114258649396,0.4788014671268244,0.1623155268884318,0.878286107679878,-0.3592361158716954,1.0927265827538761,0.5561655314689345,-1.2215191616591257,11.946312155282023,0.869679439678781,-0.0142929855493655,341.05116030992735,60
3,0.08975479809165887,1.3580187165260313,0.14572182805556697,0.6629876648945552,0.3286349866464555,0.8728122093101123,-0.2731139462890383,1.1337102804014945,0.7952809101289847,-0.3267391293048851,19.86702854225318,0.9469255309068426,-0.014025859999236733,299.88325832962886,90
4,0.11861356200157536,2.0607998346710206,0.1500783685264108,0.8220939309662353,0.4728154102159817,0.869505963564287,-0.25086653150199306,1.1670204135938038,1.0302953279752225,0.03227800446210676,17.11420087250575,0.941611482903501,-0.014542805129648905,253.17235975252953,120
5,0.16624266971371915,3.6404926957607273,0.15485914453343164,1.0707628727904714,0.6741341913064075,0.8659064655058039,-0.24660174763062645,1.2264845386620937,1.3497317534642894,0.14677710235520555,18.89991699003504,1.0024733147681384,-0.014052121378066561,224.25830398712176,150
6,0.11840698431977748,2.0551632555294037,0.1692233167697037,0.7467486493828301,0.34345584711283667,0.8552686092189565,-0.3447516917098134,1.1591086117724771,0.8460419059499532,-1.0243983984273277,23.185688876199357,0.9077904080158514,-0.01569744168847804,165.5711757062278,252
7,0.13630486362601246,2.57970770857811,0.17285668073117444,0.8261142553439152,0.3742165172104864,0.8526190935593143,-0.3642406397292848,1.1780534666569804,0.9827076133966073,-0.3111056261317607,20.379763930410338,0.9964936773425425,-0.015401463238721847,120.18833497875356,504
8,0.1775954074827848,4.1115472541904445,0.17478765730081885,1.023350826126952,0.5805843493978283,0.851217659451403,-0.3058907937614639,1.224494991796098,1.2230651577615788,-0.49097861297966294,20.5851536886751,0.9787142532356844,-0.015859212332893512,83.64684253046333,756
9,0.1706046390035083,3.816649698944092,0.17498720316445943,0.9883444322478434,0.5525448486709329,0.8510730987595556,-0.3087616134941321,1.216162448472272,1.1790725294194362,-0.49162219018605424,21.500285775979233,0.9972703107191333,-0.015600197121198334,80.35884917223073,882
