,Annual return,Cumulative returns,Annual volatility,Sharpe ratio,Calmar ratio,Stability,Max drawdown,Omega ratio,Sortino ratio,Skew,Kurtosis,Tail ratio,Daily value at risk (95%),Avg Annual Turnover (in %),lookback
0,0.07730041454087067,1.1030760936164854,0.18599763142725,0.49440761110591575,0.17774420339565153,0.8431720043121694,-0.4348969646498289,1.1031213736029337,0.5654698485990177,-1.1764616091291544,29.29387826945216,0.9356586286271907,-0.016482100585997778,62.51308144358269,10
1,0.0546699183910857,0.7013695726394653,0.17111652615136683,0.39727309912119807,0.17597345621819252,0.8538859948345995,-0.31067139082214495,1.0770979256260131,0.47963982231610697,-0.9150592091049387,13.211656905783594,0.9033169529295256,-0.01681940928348344,37.50572537379638,30
2,0.12114676076714725,2.1321054254055025,0.16155027512026854,0.7892328766612845,0.4283106347485455,0.8609183962325339,-0.28284789341798766,1.1575304969783335,0.9690412760917012,-0.7862354555795346,12.659843593129715,0.9585505782148891,-0.01552970646384838,27.622893190699223,60
3,0.1075942816765223,1.773975322675705,0.16168297044214627,0.7135192469931941,0.373039270637348,0.8608200562838514,-0.2884261528087766,1.1413705512064567,0.8626547297219601,-0.8732451124561211,12.746321191824507,0.9383231517934089,-0.015723091889021074,21.474493971221523,90
4,0.09625792630629038,1.5031906567382811,0.15723243432327558,0.6637608195279036,0.3105781024596125,0.8641306364566063,-0.3099314650452787,1.1312770597350614,0.794832221642115,-0.9713414411041312,13.975232646513165,0.9742937798446992,-0.015000936592992009,19.573619197948403,120
5,0.07959699057150793,1.1482691396331788,0.15944789509107904,0.5606784784438097,0.26562573724709515,0.8624794647813355,-0.29965842691464717,1.111841728772528,0.6582876000055988,-0.9541687791248219,14.246387975347465,0.9094074803126605,-0.01540912135782263,16.79159785630945,150
6,0.10028044438763883,1.5964212673568725,0.15529638941683796,0.6936607470210362,0.35731076977911386,0.8655787459915569,-0.28065329362904806,1.1407786353885798,0.8194374372844749,-0.964759987151436,15.331314137332415,0.9286092279936987,-0.014750290288187279,12.605684455503285,252
7,0.12715062253644316,2.303653130302429,0.14892763822407978,0.8788505928461116,0.4405079532498236,0.8703768337801672,-0.2886454639431509,1.1835069173639947,1.0325390165627388,-1.0094279208030308,17.12118924613116,0.9769637394484925,-0.013953275450925201,6.55575521723173,504
8,0.14582485985942628,2.8926380193901062,0.1535788959070306,0.9639464361977367,0.4550575470658902,0.8668674535812523,-0.32045366745299037,1.204605181952455,1.1106828515578708,-1.0845226994085744,17.706248584440626,0.9663411788632249,-0.014114786519433237,3.7146980572941652,756
9,0.15001034359257948,3.0369553488540646,0.15784567239827735,0.9651356841750316,0.4485624946046998,0.8636729607743602,-0.3344246239864026,1.2077304066302166,1.1234354243050892,-0.8436310449443865,18.190451262512866,0.9622487150025999,-0.014447024372139294,3.0840280894913277,1008
10,0.14976376705354366,3.0283216719436643,0.16286689997910667,0.9389516686240674,0.4443028857359633,0.859943644468655,-0.3370758369157747,1.2015962164519665,1.110073898207814,-0.6650820992503298,17.062306264240696,0.9485949915405726,-0.015208565597370188,3.433669331325001,1260
11,0.14354013858988024,2.815834279079437,0.16290182496786126,0.9054462270965125,0.4259251354276465,0.8599178181078498,-0.33700790737733755,1.193143041789383,1.0743465788873388,-0.6576239437728321,17.008574427159758,0.969553362880039,-0.014913543660449252,2.8701457194605675,1512
