date,portfolio_value,cash,w_c,w_Canada,w_France,w_Germany,w_Italy,w_Japan,w_Switzerland,w_UK,w_US,s_Canada,s_France,s_Germany,s_Italy,s_Japan,s_Switzerland,s_UK,s_US,purchases,sales
2017-01-03,100000.0,127.99331283569336,0.0012799331283569336,0.0906,0.0905,0.1916,0.1248,0.1994,0.121,0.0905,0.0902,414,425,1043,293,809,620,410,46,99872.0066871643,0.0
2017-01-04,101010.93259620667,229.00481605529785,0.002267129014348867,0.1188,0.1665,0.098,0.108,0.1737,0.098,0.098,0.1367,539,785,535,251,705,504,444,70,15990.247552871704,16091.259056091309
2017-01-05,101802.05548667908,108.55019569396973,0.0010662868757907707,0.1115,0.1783,0.0969,0.134,0.17,0.1147,0.0968,0.0968,506,838,528,312,687,589,439,50,5499.46258354187,5379.007963180542
2017-01-06,101570.37133789062,112.91850471496582,0.0011117268080011616,0.2283,0.1905,0.1112,0.0838,0.1186,0.084,0.0988,0.0838,1036,896,606,195,479,432,450,43,14815.466844558716,14819.835153579712
2017-01-09,101107.94964408875,198.89850997924805,0.0019671896292961432,0.1031,0.0907,0.0909,0.1564,0.2468,0.0907,0.0908,0.1287,469,425,501,362,991,465,415,66,25374.008935928345,25459.988941192627
2017-01-10,101119.8493347168,100.69778060913086,0.0009958260546434473,0.2129,0.0782,0.0782,0.0783,0.1279,0.0781,0.1328,0.2125,967,367,431,182,513,401,605,109,23780.0217628479,23681.821033477783
2017-01-11,101697.8051109314,250.49449157714844,0.0024631258393817885,0.1131,0.1661,0.1705,0.081,0.0846,0.2212,0.0813,0.0797,512,776,940,188,341,1136,370,41,33110.96634101868,33260.763051986694
2017-01-12,101643.36248970032,148.04898643493652,0.0014565534119351724,0.1402,0.1029,0.0767,0.1299,0.2084,0.0766,0.1047,0.1591,634,482,425,302,836,392,475,82,30709.869241714478,30607.423736572266
2017-01-13,102062.77791595459,142.34570503234863,0.0013946877396337942,0.1826,0.2328,0.1068,0.091,0.0855,0.1291,0.0856,0.0852,825,1090,592,211,343,660,389,44,25995.725929260254,25990.022647857666
2017-01-17,101951.8125667572,236.51957511901855,0.0023199153518153244,0.1007,0.1691,0.1521,0.108,0.1008,0.1301,0.1036,0.1333,454,789,842,253,406,665,470,69,14870.276788711548,14964.450658798218
2017-01-18,101599.38988494873,134.03784561157227,0.0013192780563284572,0.1311,0.1024,0.244,0.0895,0.0897,0.163,0.0896,0.0894,599,476,1350,209,361,836,407,46,15941.66223526001,15839.180505752563
2017-01-19,101433.63126754761,175.12888526916504,0.0017265366829590698,0.107,0.0787,0.0788,0.0787,0.2141,0.0961,0.1315,0.2133,490,366,434,184,866,493,598,110,29512.79633331299,29553.88737297058
